,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
247,2021-11-16,房地产行业：基本面仍在下行 整体融资环境依然严峻,新浪
248,2021-11-16,房地产行业点评：单月销售加速下行 融资偏紧、投资走弱,华安证券
249,2021-11-16,金地商置长沙一参股项目与合作方发生纠纷，多处“金地” LOGO 一度被遮挡,ZAKER
250,2021-11-16,金地集团(600383)公告点评：发行15亿中票 融资优势持续凸显,新浪
251,2021-11-15,打响“撤退”信号？抛售金地后，大家人寿密集减持金融街股权 减持股份,搜狐
252,2021-11-15,地产融资环境逐步“解冻”：多家房企在银行间市场密集发债，总额近300亿元,每日经济新闻
253,2021-11-15,房地产行业：长三角聚集 中西部承压,新浪
254,2021-11-15,【兴证地产】新房二手房周报：十月按揭数据有所改善，本周新房二手房成交同比下降,YCMProperty
255,2021-11-15,折价配股 融创中国大跌10%带崩地产股,第一财经
256,2021-11-15,金地集团(600383)：增长与稳健并重 盈利估值料齐进,新浪
257,2021-11-13,地产债抄底时机来了吗？,Wind
258,2021-11-13,银行间发债向国企开口子！房地产融资将走出“至暗时刻”,房地产报
259,2021-11-13,狂卖10个亿！500亿龙头刚涨停，险资二当家就“跑了”,Wind
260,2021-11-12,金地集团：大家人寿累计减持2.26亿股公司股份 减持股份,中证网
261,2021-11-12,金地集团：股东大家人寿自9月3日起减持公司股份5% 减持股份,贝壳财经
262,2021-11-12,金地集团：大家人寿累计减持2.26亿股，达总股本5% 减持股份,乐居财经
263,2021-11-12,金地集团：大家人寿自9月3日起减持2.26亿股 占总股本5% 减持股份,观点地产网
264,2021-11-12,金地集团(600383.SH)主要股东大家人寿持股比例降至15.43%,智通财经
265,2021-11-12,金地集团：大家人寿累计减持5%公司股份 减持股份,财联社
266,2021-11-12,金地集团：大家人寿持有公司股份比例下降至15.43%,Wind
267,2021-11-12,浙金信托参股金地天津项目公司，注资1274万持股6.6%,乐居财经
268,2021-11-12,策略跟踪：指数小幅上行 军工、种植业领涨,新浪
269,2021-11-12,房地产板块开盘走低，金地集团跌超6%,中国房地产网
270,2021-11-12,地产板块领跌大市，万科A、金地集团均跌超6%,Wind
271,2021-11-12,房地产板块开盘走低，金地集团跌超5%，金科股份、万科A、华侨城A、绿地控股,新浪
272,2021-11-12,迷雾之下的楼市政策走向：调整信号与“松绑”疑云,Wind
273,2021-11-12,房地产板块早盘回调，金地集团、金科股份跌超4%,36氪
274,2021-11-12,A股早报2021年11月12日星期五,Wind
275,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
276,2021-11-12,MSCI公布最新调整结果，北上动向将发生变化！,Wind
277,2021-11-12,房地产板块走势反转了？机构建议理性应对,Wind
278,2021-11-12,保利发展启动20亿元中票发行，地产企业银行间债券融资利好落地,Wind
279,2021-11-11,夜读·房企融资｜保利发展、金地集团等发布融资计划,新京报
280,2021-11-11,金地集团现11笔大宗交易 合计成交9030.35万股,证券时报网
281,2021-11-11,地产行业点评：政策修复预期持续升温 信心重塑仍需时日,新浪
282,2021-11-11,房地产行业：信用通缩 储蓄搬家,新浪
283,2021-11-11,硬核选基丨房地产暖风频来，基金经理会不会加仓？,21世纪经济报道
284,2021-11-11,金地集团今日大宗交易成交9030.35万股，成交价10.97元折价4.02%,Wind
285,2021-11-11,金融街下午茶2021年11月11日星期四,Wind
286,2021-11-11,"金地集团现11笔大宗交易 共成交99,062.99万元",新浪
287,2021-11-11,涨停板解密：政策利好频现，地产股迎涨停潮！（11月11日）,Wind
288,2021-11-11,地产股债大逆转！机构放手抢筹行业龙头，背后有三大原因,Wind
289,2021-11-11,“牛市旗手”归来 四季度行情要来了吗？,财界网
290,2021-11-11,金地集团股价涨10.0% 现报11.43元,乐居财经
291,2021-11-11,房地产飙升10多只个股涨停，北上资金杀回马枪扫货80多亿,Wind
292,2021-11-11,金地集团收报11.43元涨10.0% 总市值516.0亿元,乐居财经
293,2021-11-11,11月11日金地集团涨停分析：物业管理，住房租赁，房地产概念热股,证券之星
294,2021-11-11,A股收盘综述：地产股掀起涨停潮，半导体、元宇宙高空加油,Wind
295,2021-11-11,地产股迎来大面积翻红的另一面：亿达跌超16% 领地、远洋微跌,中华网
296,2021-11-11,A股午盘综述：地产股爆发，招商、金地、泰禾、阳光城等封板,Wind
297,2021-11-11,快讯：金地集团涨停 报于11.43元,金融界
298,2021-11-11,30强选手荣盛发展突围：破“掣肘”，归绿档,中访网
299,2021-11-11,金地集团股价涨停 现报11.37元,乐居财经
300,2021-11-11,金地集团封住涨停板、保利发展冲击涨停，地产板块继续拉升,Wind
301,2021-11-11,金地集团首板，地产股集体拉升,Wind
302,2021-11-11,招商蛇口封住涨停板，保利发展、金地集团涨超8%,Wind
303,2021-11-11,百城土地成交月度跟踪报告：土地成交持续下行 一线城市韧性较强,光大证券
304,2021-11-11,对11月10日房地产板块大涨的点评：“Α风险”修复进入执行阶段 龙头房企配置价值凸显,光大证券
305,2021-11-11,多方面积极信号闪现，地产板块拉升走高，保利发展等大涨,证券时报网
306,2021-11-11,3万亿板块迎来松绑？多个大利好疯传，沈阳拟放松限购限售,Wind
307,2021-11-11,前10月房企融资利率同比下降，多家抓销售促回款,Wind
308,2021-11-11,融资回暖提振风险偏好，房地产股债联袂反弹,Wind
309,2021-11-11,涉房信贷改善态势有望持续，地产企业流动性压力边际缓和,Wind
310,2021-11-10,夜读·房企融资｜华润置地获15亿港元贷款，住总拟发行融资券,新京报
311,2021-11-10,中国短期融资券及中期票据信用分析周报,新浪
312,2021-11-10,金地集团(600383.SH)完成发行15亿元中期票据,智通财经
313,2021-11-10,金地完成15亿中期票据发行 票面利率4.17%,观点地产网
314,2021-11-10,地产板块震荡走高 保利发展、金科股份等大涨,证券时报网
315,2021-11-10,【行情】房地产开发板块持续拉升，京投发展涨超7%，保利发展、金地集团、金科股份跟涨,金十数据
316,2021-11-10,房地产板块午后走强 机构：国企及优质民企优势扩大,第一财经
317,2021-11-10,快讯：房地产板块午后回暖 金地集团、保利发展涨超5%,新浪
