,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
810,2019-07-26,中行、韵达快递、老虎证券、富途牛牛、同花顺这些APP被监管点名！整改如何了？哪些可重投信任票 金融监管处罚,券商中国
811,2019-07-22,财富趋势再闯科创板,中国经营报
812,2019-07-22,"计算机行业动态跟踪报告:基金持仓随板块回调明显回落,风险偏好重归谨慎",平安证券
813,2019-07-22,"计算机行业2019Q2公募基金计算机板块持仓跟踪:持仓比例环比下降1.2个百分点略超配,头部公司仓位稳固",光大证券
814,2019-07-19,奇高毛利率超过茅台 财富趋势为何第三次冲击IPO,GPLP犀牛财经
815,2019-07-19,老虎证券、富途牛牛、同花顺等40款APP被监管点名，使用这些APP要注意了！网民严重吐槽五大问题 金融监管处罚,券商中国
816,2019-07-18,“不差钱”的财富趋势转战科创板,北京商报
817,2019-07-15,毛利率超茅台、七年三闯IPO 财富趋势要上科创板,新浪
818,2019-07-15,【计算机】谢春生、杨亚宇（研究助理）：通达信解读20190712,中泰证券研究所
819,2019-07-12,同花顺2019年上半年净利2.2亿–2.77亿 同比增长15%–45%,挖贝网
820,2019-07-12,公告点题｜今晚这些公告有看头（更新中）,第一财经
821,2019-07-12,同花顺：预计上半年净利增长15%-45%,Wind
822,2019-07-12,"毛利率堪比茅台！90%股民都用过的炒股软件""冲击""科创板",全景网
823,2019-07-11,通达信上将买卖“通达信”，财富趋势拟在IPO上市,格隆汇
824,2019-07-10,同花顺、大智慧的老对手，申请上科创板了！毛利率媲美茅台！,中国基金报
825,2019-07-10,“通达信”母公司科创板IPO 毛利率接近茅台,新浪
826,2019-07-10,同花顺对手财富趋势也来冲科创板了！保荐机构是主要客户,新京报
827,2019-07-07,吴强：可从三个方向推动券商业务转型升级,财经网
828,2019-07-03,中国“科”公司之东方财富VS同花顺：谁是互金龙头？,新浪
829,2019-07-01,计算机行业中期策略:聚焦云计算、非银科技、医疗信息化三条主线的投资机会,东北证券
830,2019-06-27,融资客青睐17股，大湖股份买入占比高达40.30%,Wind
831,2019-06-26,遭两股东大笔减持 同花顺(300033.SZ)应声大跌超7%,格隆汇
832,2019-06-26,同花顺(300033.SZ)：上市以来于浩淼累计减持1.05%股份 持股降至5%以下,格隆汇
833,2019-06-26,早间公告：同花顺股东于浩淼持股比例低于5%,e公司
834,2019-06-26,同花顺：股东于浩淼累计卖出1.05%公司股份 减持股份,Wind
835,2019-06-25,多家公司发布减持公告：秦安股份等拟遭抛售 减持股份,Wind
836,2019-06-25,同花顺(300033.SZ)自上市以来 凯士奥已累计减持5.000005%的股份,格隆汇
837,2019-06-25,同花顺：两家股东累计减持公司6.05%股份 减持股份,Wind
838,2019-06-23,主力资金净流出近百亿 北向资金净流入超70亿,证券时报
839,2019-06-23,机构反常冒险买入同花顺 游资活跃看好稀土永磁,财富动力网
840,2019-06-21,6月21日A股龙虎榜揭秘，机构净卖出7股,Wind
841,2019-06-21,同花顺龙虎榜数据（6月21日）,Wind
842,2019-06-21,同花顺今日涨停，两机构席位买入1.08亿元,Wind
843,2019-06-21,同花顺涨停，报103.36元,腾讯网
844,2019-06-14,【重磅！】易华录深度：城市大数据专家,申万宏源S全民全流量计算机话报
