314,2021-07-05,长电科技：公司具备第三代碳化硅功率器件的封测量产能力,Wind
315,2021-07-05,【窥业绩】上半年净利飙增2.5倍！券商纷纷推荐！长电科技未来前景如何？,财华社
316,2021-07-05,长电科技订单需求强劲产能利用率饱满 上半年净利润预增249%,上证报
317,2021-07-05,长电科技（600584）2021年半年度业绩预告：封测龙头，业绩加速成长,国信研究
318,2021-07-05,659家公司预告上半年业绩 69.95%报喜,证券之星
319,2021-07-05,A股融资融券日报：两融余额减少58.92亿元（7月2日）,Wind
320,2021-07-05,65股获券商买入评级，恒力石化目标涨幅达73.36%,Wind
321,2021-07-05,3倍芯片大牛股净利增12倍，更有重磅文件下发，什么信号？,Wind
322,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
323,2021-07-03,长电科技：上修盈利预测,半导体风向标
324,2021-07-02,长电科技净利预增249% 封测行业景气度持续向好,华夏时报
325,2021-07-02,财信证券首予长电科技推荐评级：上半年业绩表现亮眼，进入利润释放期,每日经济新闻
326,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
327,2021-07-02,鸿蒙拉动半导体最牛行情！已有7家公司净利同比增速超一倍（名单）,时代财经
328,2021-07-02,东吴证券维持长电科技买入评级，2021年半年度业绩预告点评：行业龙头效应凸显，充分受益封测高景气行情,每日经济新闻
329,2021-07-02,国金证券维持长电科技买入评级：业绩持续超预期，估值终将回升,每日经济新闻
330,2021-07-02,鸿蒙拉动半导体蓬勃发展，行业趋势一片大好明微电子半年利润暴增8倍,时代在线
331,2021-07-02,长电科技：7月2日主力资金净流入额占板块1798.29%,每日经济新闻
332,2021-07-02,长电科技：年产36亿颗高密度集成电路及系统级封装模块项目已开始小批量试生产,Wind
333,2021-07-02,天风证券：长电科技（600584.SH）21H1业绩预增表现亮眼，海内外客户全面开花，维持“买入”评级,智通财经
334,2021-07-02,鸿蒙拉动半导体最牛行情！明微电子半年利润暴增8倍，长电科技：旺季还在下半年,时代财经
335,2021-07-02,东吴证券：长电科技（600584.SH）行业龙头效应凸显，充分受益封测高景气行情，维持“买入”评级,智通财经
336,2021-07-02,【天风电子】长电科技：21H1业绩预增表现亮眼，海内外客户全面开花,科技伊甸园
337,2021-07-02,长电科技(600584)：经营业绩大超预期 国内外客户全面开花,新浪
338,2021-07-02,【东吴电子王平阳团队】长电科技2021年半年度业绩预告点评：行业龙头效应凸显，充分受益封测高景气行情,东吴电子研究
339,2021-07-02,半导体业规模实力快速提升,中国电子报
340,2021-07-02,长电科技发布2021年半年度业绩预增公告,中电网
341,2021-07-02,中国半导体公司，业绩暴增,36氪
342,2021-07-02,长电科技：公司目前订单稳定不存在封测业务量减少的情况,财联社
343,2021-07-02,长电科技(600584)业绩预告：二季度业绩高增长 依托全球顶级客户持续高成长,新浪
344,2021-07-02,A股异动丨长电科技(600584.SH)涨逾5%半年度预盈12.8亿元同比增长249%,格隆汇
345,2021-07-02,71股获券商买入评级，恒力石化目标涨幅达171.90%,Wind
346,2021-07-02,“封测一哥”中报预增250%！分析师：上半年其实是淡季,Wind
347,2021-07-02,【中证盘前】“两桶油”预计上半年扭亏为盈；华昌化工上半年净利预增超60倍；长电科技净利预增249%,中证报
348,2021-07-01,“封测一哥”业绩亮了，中报预增250%！分析师“凡尔赛”：上半年其实是淡季,中证报
349,2021-07-01,晚间重要公告2021年7月1日星期四,Wind
350,2021-07-01,如何看封测的机会？,半导体风向标
351,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
352,2021-07-01,长电科技(600584.SH)上半年归母净利润同比预增约249%,智通财经
353,2021-07-01,长电科技：上半年预盈12.8亿元左右 同比增249%左右,e公司
354,2021-07-01,长电科技：预计上半年实现净利润12.8亿元左右，同比增长249%左右,第一财经
355,2021-07-01,长电科技：预计上半年净利润12.80亿元左右，同比增长249%左右,Wind
356,2021-06-30,半年报前瞻|集成电路全产业链业绩喜人汽车IC设计、封测龙头领跑,财联社
357,2021-06-30,【最全】2021年集成电路行业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
358,2021-06-30,通富微电(002156)1H2021业绩预告点评：市场低估封测行业景气度持续性,国金证券股份有限公司
359,2021-06-29,通富微电上半年大幅预盈 “缺芯”刺激封测行业需求旺盛,e公司
360,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
361,2021-06-28,电子元器件行业周报2021年第26周：进入Q2季末 业绩预期行情开幕,新浪
362,2021-06-28,电子行业每周市场动态追踪：看好半导体的短中长期大逻辑 消费电子迎布局时点,新浪
363,2021-06-28,长电科技：股东产业基金减持1780万股，减持数量过半 减持股份,每日经济新闻
364,2021-06-28,长电科技(600584.SH)：国家大基金减持量过半 累计减持1%股份 减持股份,格隆汇
365,2021-06-28,长电科技：股东国家集成电路产业投资基金股份有限公司累计减持1%股份 减持股份,Wind
