,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
1968,2018-05-10,[增持评级]化工行业周报：C3产业链普涨 纯碱价格反弹,中财网
1969,2018-05-10,[增持评级]基础化工行业周报：纯碱价格上行 聚氨酯原料全线涨价,中财网
1970,2018-05-10,国际油价飙升激发石油板块潜能社保等四机构持21只个股,顶尖财经网
1971,2018-05-10,国际油价飙升激发石油板块 六股投资正当时,证券日报
1972,2018-05-09,[中性评级]化工行业投资周报：液氯价格领涨 继续推荐关注纯碱行情,中财网
1973,2018-05-09,[增持评级]石化行业数据周报20180506,中财网
1974,2018-05-09,[推荐评级]基础化工行业2017年年报及2018年一季报总结：在建工程小幅复苏 行业延续景气向上 盈利实现大幅增长,中财网
1975,2018-05-09,"基础化工行业:有机硅价格续涨创新高,纯碱、双酚A持续上行",安信证券
1976,2018-05-08,[增持评级]大炼化聚酯产业链周报：下游坯布景气维持 产业链持续受益,中财网
1977,2018-05-08,[强于大市评级]深度*行业*化工行业2017年报及2018年一季报总结：行业景气延续 一季度投资同比小幅回升,中财网
1978,2018-05-08,每周油记：油价恐大跌：美国单月疯狂投产1197口井!,中财网
1979,2018-05-08,"化工行业:化工景气指数转负,甲烷氯化物、DMC上涨",中证网
1980,2018-05-08,[看好评级]全球大型石化项目介绍系列之六：结合技术与资源优势的一体化石化项目 拉比格炼化PETRO RABIGH,中财网
1981,2018-05-08,[增持评级]石化行业2017年报及2018一季报分析：油价震荡上行 上游利润大幅增长,中财网
1982,2018-05-08,41股获券商买入评级 万科A目标涨幅达64.35%,Wind
1983,2018-05-08,"荣盛石化2018年一季报点评:一季度业绩符合预期,pta上行潜力大,浙石化项目稳步推进",光大证券
1984,2018-05-07,[强于大市评级]深度*行业*化工行业周报：油价冲高 聚氨酯产业链上涨,中财网
1985,2018-05-07,"荣盛石化调研简报:芳烃产品保障业绩,浙石化项目潜力巨大",正点财经
1986,2018-05-07,周二沪深上市公司重大公告速递 更新中,证券之星
1987,2018-05-07,石油化工行业周报：涤纶价格上涨 关注伊朗地缘变化,中财网
1988,2018-05-07,[推荐评级]石化行业周报：MEG价格下滑 聚酯涤纶盈利能力增强,中财网
1989,2018-05-07,【方正化工】化工周报：MDI价格大幅走高，恒力石化拟建PTA项目,靠谱化工股
1990,2018-05-04,"荣盛石化:扣非后归母净利大增,集中精力办大事",正点财经
1991,2018-05-04,"基础化工行业周报:甲苯大涨、DMC继续上行,原油市场再起波澜",光大证券
1992,2018-05-03,"荣盛石化:一季度业绩小幅向上,上半年预计稳定增长",正点财经
1993,2018-05-02,每周油记：油价脱离基本面：沙特的人为操纵和页岩油的大突袭!,中财网
1994,2018-04-27,碳纤维行业成立技术创新联盟 六股有望率先发力,证券时报
1995,2018-04-27,"荣盛石化:传统业务确定性强,浙石化项目推进有序",东北证券
1996,2018-04-25,荣盛石化：2018年半年度业绩报告预告,深交所
1997,2018-04-25,荣盛石化：一季度净利润同比增2.45%,Wind
1998,2018-04-24,[推荐评级]化工行业周报：苯胺、丁二烯价格走强 环氧丙烷-丙烯价差持续扩大,中财网
