,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
223,2021-10-25,公用事业行业：火电需求维持强势 风光装机高速增长幅收窄,新浪
224,2021-10-25,电力行业政策点评：能源领域重磅文件落地 风光氢储四大方向均有提及,新浪
225,2021-10-24,碳中和周报：政策不断加码 提升能源保供能力,新浪
226,2021-10-22,解盘：百亿资金流入，光刻胶、半导体、磷化工领涨,Wind
227,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
228,2021-10-22,快讯：电力板块开盘下挫 华能国际跌超7%,新浪
229,2021-10-22,【行情】电力板块下挫，华能国际跌超7%，赣能股份、甘肃电投、银星能源跟跌,金十数据
230,2021-10-21,南财脱水研报｜火电板块大涨逾5%，煤价下将有利火电盈利改善,21经济网
231,2021-10-21,A股早报2021年10月21日星期四,Wind
232,2021-10-21,席位追踪：机构忍痛割肉中煤能源 华能国际反弹引游资抢筹,财富动力网
233,2021-10-21,涉及PPI、教育公平和恒大！央行、银保监会表态10大要点速览,Wind
234,2021-10-20,龙虎榜机构新动向：净买入14股 净卖出17股,证券时报网
235,2021-10-20,财华聚焦|“煤”“电”走势背离，火电股能否浴火重生？,财华社
236,2021-10-20,龙虎榜丨华能国际今日涨停 2家机构净买入6223.68万元,格隆汇
237,2021-10-20,机构今日买入这16股，抛售中煤能源1.42亿元丨龙虎榜,第一财经
238,2021-10-20,涨停板解密：煤炭期货大跌，电力股受益全面爆发！（10月20日）,Wind
239,2021-10-20,张一鸣“打败”马化腾，成中国互联网首富！,Wind
240,2021-10-20,A股收盘综述：“煤超风”迎来强监管、兖煤等跌停，电力股逆市大面积涨停,Wind
241,2021-10-20,小摩：可再生能源股或将跑赢大市，华能国际估值具吸引力,Wind
242,2021-10-20,能源局发声：8万亿赛道飙升！煤炭股崩了：千亿巨头跌停,Wind
243,2021-10-20,解盘：资金持续流入，电力、锂电池、新能源领涨,Wind
244,2021-10-20,A股午盘综述：电力、锂、汽车板块携手护盘，限价引发煤炭板块大调整,Wind
245,2021-10-20,小摩：可再生能源股或将跑赢大市 华能国际估值具吸引力,新浪
246,2021-10-20,快讯：华能国际涨停 报于7.45元,金融界
247,2021-10-20,风电概念再度活跃 华电国际、华能国际等约10股涨停,证券时报网
248,2021-10-20,火电板块持续拉升，华能国际、大唐发电、粤电力A涨停,Wind
249,2021-10-20,港股异动 | 华能国际(00902)盘中涨超9%领涨电力股 动力煤期价回落叠加电改正式实施,智通财经
250,2021-10-20,电力股炒作，华能国际首板,Wind
251,2021-10-20,快讯：港股电力股拉升 华能国际、华电国际涨超6%,新浪
252,2021-10-20,火电炒作卷土重来，华电国际涨停,Wind
253,2021-10-20,财信证券电力行业10月月度报告：板块普涨后调整，精选基本面和估值匹配个股,财信证券研究
254,2021-10-19,华能国际：第三季度新增光伏装机容量278MW,北极星电力
255,2021-10-19,日出东方牵手华能推进分布式光伏项目 上半年营收增近30%,长江商报
256,2021-10-18,华能国际最新公告：第三季度于中国境内各运行电厂按合并报表口径完成售电量同比增长10.98%,证券之星
257,2021-10-18,华能国际(600011.SH)第三季度完成售电量同比增长10.98%,智通财经
258,2021-10-18,华能国际(600011.SH)完成发行15亿元超短期融资券,智通财经
259,2021-10-18,华能国际(600011.SH)：第三季度于中国境内各运行电厂按合并报表口径完成售电量同比增长10.98%,格隆汇
260,2021-10-18,策略专题：20211018全球能源短缺 供需紧平衡长逻辑难破,新浪
261,2021-10-18,快讯：港股电力股全线走低 中国电力跌超7%华能国际跌超6%,新浪
262,2021-10-18,公用环保行业周报：江苏山东首次交易电价顶格上浮 2022年电价谈判结果保持乐观,新浪
263,2021-10-18,公用事业行业周报：电价上浮落地叠加煤炭保供推进 行业经营压力或将缓和,新浪
264,2021-10-17,公用周报：深化煤电电价市场化改革政策落地 前9月全社会用电量累计同比+12.9%,新浪
265,2021-10-16,假如中国全面取消煤电，其他发电形式能满足吗？,腾讯网
266,2021-10-15,公用事业三季度业绩前瞻：煤电利润触底 新能源业绩高增,新浪
267,2021-10-15,公用事业行业：高温叠加需求改善 用电增速触底反弹,新浪
268,2021-10-15,透视龙虎榜　机构资金逢低买入,财富动力网
269,2021-10-14,A股午盘综述：指数企稳下题材股炒作热情重燃，煤、电、钢触底反弹,Wind
270,2021-10-14,电力板块触底反弹并翻红，赣能股份一度涨停,Wind
271,2021-10-13,公用事业行业：电价改革持续推进 市场电比例大幅提高,新浪
272,2021-10-12,公用事业行业周报：正价差时代开启 电价趋势性上行,新浪
