3274,2020-09-11,房地产行业2020年中报总结：三条红线托底估值 特色房企表现占优,西南证券
3275,2020-09-11,东哥侃市：消费科技医药贵，资金大概率换到周期，讲讲地产、汽车、家电龙头,新浪
3276,2020-09-11,保利地产(600048)：淡季销售靓丽 拿地转向积极,新浪
3277,2020-09-11,保利地产(600048)：销售表现超预期、新增面积创新高,新浪
3278,2020-09-11,房地产：泰康系举牌阳光城 启动行业价值重估,财富动力网
3279,2020-09-11,上市公司正负面新闻2020年9月11日星期五,Wind
3280,2020-09-10,保利地产：新增房地产项目19个 总金额115.2亿元,中国网
3281,2020-09-10,保利地产：前8月签约金额3170.56亿元 同比增加2.29%,中国网
3282,2020-09-10,保利地产(600048.SH)：近期新增房地产项目19个,格隆汇
3283,2020-09-10,保利地产：8月签约金额439亿元 同比增加44.91%,e公司
3284,2020-09-10,保利地产(600048.SH)：8月签约额升44.91%至439.05亿元,格隆汇
3285,2020-09-10,保利地产：8月实现签约金额同比增加44.91%,Wind
3286,2020-09-10,险资增持房企点评：泰康系举牌阳光城 启动行业价值重估,新浪
3287,2020-09-10,A股收盘综述：创业板综指收跌4.69%，343股下挫逾10%,Wind
3288,2020-09-10,广东上市公司上半年净利3千亿，平安赚6百亿，南航亏81亿 亏损,南都报
3289,2020-09-10,房地产行业2020年半年报总结及展望：疫情之下业绩增速下滑 板块基本面韧性十足,新浪
3290,2020-09-10,地产｜金融审慎监管下的估值拐点，长线资金入场,中信证券研究
3291,2020-09-09,房地产行业2020年中报综述：上半年疫情影响可控 全年业绩保障度仍较高,新浪
3292,2020-09-09,[兴证地产]新房二手房周报：本周销售同比保持增长，资产荒背景下保险资金战略性配置优质地产股,YCMProperty
3293,2020-09-09,保利地产(600048.SH)：3581.5158万份股票期权行权条件成就,格隆汇
3294,2020-09-09,【兴证地产】资产荒大背景下，保险资金战略性配置优质地产股,YCMProperty
3295,2020-09-08,盛视早参：下跌空间大吗？,新浪
3296,2020-09-08,地产股造好，万科A、保利地产、绿地控股、金地集团、华侨城A普涨,Wind
3297,2020-09-08,广州房地产市场8月报（限时送报告）| 研热点,保利投顾研究院
3298,2020-09-08,环广城市8月房地产市场报告| 研热点,保利投顾研究院
3299,2020-09-07,上市房企10年拿地分析及投拓能力大比拼,中国房地产网
3300,2020-09-07,房地产开发行业周报：无锡升级购房调控 8月百强房企销售同增30.7％,新浪
3301,2020-09-07,房地产行业周报：东莞杭州调控收紧 销售规模保持增长,新浪
3302,2020-09-07,房地产周报：8月房企销售持续火爆 沈阳提高二套首付比,新浪
3303,2020-09-07,解盘：大消费持续调整，氮化镓、边缘计算、IGBT领涨,Wind
3304,2020-09-07,A股午盘综述：创业板综指半日升0.53%，成交金额2073亿元超过上证指数,Wind
3305,2020-09-07,房地产行业例评：消费股及科技股调整 平衡风格纵深演绎,西南证券
3306,2020-09-07,【行情】房地产板块走强，上实发展涨停，万科A、保利地产、金地集团、华侨城A等涨约3%,金十数据
3307,2020-09-07,上半年:10大家企竞逐精装市场 工程渠道创收最高增长108%,亿欧网
