2832,2020-06-12,银行板块距离全面破净仅四步之遥，多家银行出手“护价”,21世纪经济报道
2833,2020-06-12,A股融资融券日报：两融余额增加30.2亿元（6月11日),Wind
2834,2020-06-12,港股公告精选：京东集团发售价定为每股226港元,Wind
2835,2020-06-11,民生银行发行不超500亿元二级资本债获银保监会批复,北京商报
2836,2020-06-11,民生银行(600016.SH)：发行二级资本债券获中国银保监会批复,格隆汇
2837,2020-06-11,民生银行：将于6月12日召开“19如意科技MTN001”持有人会议,Wind
2838,2020-06-11,A股融资融券日报：两融余额增加21.86亿元（6月10日）,Wind
2839,2020-06-11,五月新增社融高涨、宽信用加速，监管严控信贷资金空转套利,Wind
2840,2020-06-10,长城汽车：控股股东质押3300万股,Wind
2841,2020-06-10,A股融资融券日报：两融余额增加19.15亿元（6月9日）,Wind
2842,2020-06-09,中国富人知多少：10家银行私行客户64万人，人均资产1512万元,搜狐
2843,2020-06-09,A股融资融券日报：两融余额增加47.53亿元（6月8日）,Wind
2844,2020-06-08,民生银行今日大宗交易成交49.80万股，成交价5.75元溢价0.0%,Wind
2845,2020-06-08,泛钛客科技：“AI+场景”助力民生银行消费金融更智慧,凤凰网
2846,2020-06-08,A股融资融券日报：两融余额减少11.51亿元（6月5日）,Wind
2847,2020-06-08,民生银行(01988.HK)遭贝莱德减持4536.2万股 减持股份,格隆汇
2848,2020-06-06,打通优质农产品供应链 民生银行发布“民生农场”服务平台,中证网
2849,2020-06-06,民生银行发布 “民生农场”助力涉农企业复工复产 致力打通农产品到餐桌的最后一公里,新华网
2850,2020-06-05,民生银行(01988.HK)提名高迎欣为执行董事候选人,格隆汇
2851,2020-06-05,史玉柱二度喊话民生银行董事会换届：董事长收入必须与市值挂钩！,中国证券网
2852,2020-06-05,【探针】史玉柱何以再评民生银行？高管薪酬到底什么水平？,新浪
2853,2020-06-05,民生银行董事会同意高迎欣为第七届董事会执行董事候选人,上证报
2854,2020-06-05,民生银行(600016.SH)：提名高迎欣为执行董事候选人,格隆汇
2855,2020-06-05,民生银行董事长年薪457万，史玉柱分红5亿？喊话管理层收入必须与市值挂钩,和讯
2856,2020-06-05,年薪400万的银行行长怎么样？平安、招商在列！华夏为何只有67万,经济网
2857,2020-06-05,不能论资排辈！史玉柱：民生银行应提拔优秀年轻人,澎湃新闻
2858,2020-06-05,史玉柱：民生银行各级管理层不能再论资排辈 应大胆提拔年轻人,新浪
2859,2020-06-05,史玉柱:民生银行董事会已超龄服役 将来谁主持大局都支持,新浪
2860,2020-06-05,期货大佬葛卫东又出手！15亿加码A股芯片龙头,券商中国
2861,2020-06-05,民生银行：将持续督促印纪娱乐尽快制定“17印纪娱乐MTN001”偿还计划 未按时兑付本息,Wind
2862,2020-06-05,A股融资融券日报：两融余额增加19.61亿元（6月4日）,Wind
2863,2020-06-05,史玉柱喊话民生银行：管理层收入必须与市值挂钩,中新经纬
2864,2020-06-05,民生银行换届前夕，史玉柱再表态：管理层收入必须与公司市值挂钩,和讯
2865,2020-06-04,2个月服务60万客户，企业微信腾银金融版加速银行业营销触达,凤凰网
2866,2020-06-04,大连农商银行风险重重，三家股东列为失信人，董事长卷入骗贷风波 违约失信,中金在线
2867,2020-06-04,A股融资融券日报：两融余额增加27.1亿元（6月3日）,Wind
2868,2020-06-03,A股融资融券日报：两融余额增加41.39亿元（6月2日）,Wind
2869,2020-06-02,民泰银行80后副行长被撤职后 为何仍能骗取银行数十亿？ 董监高成员变化,新浪
2870,2020-06-02,金风科技担保5亿元用于金风环保收购海元资产,北极星电力
2871,2020-06-02,民生银行(01988.HK)遭贝莱德减持4536.2万股 减持股份,格隆汇
