249,2021-08-31,徐工机械：2021年上半年经营性现金流大幅上升648.6%经营业绩创历史最好水平,挖贝网
250,2021-08-31,徐工机械：2021年上半年业绩创历史最好水平持续保持高水平经营质量,挖贝网
251,2021-08-31,浙商机械 邱世梁||王华君【杭可科技】订单质量逐步改善，下半年业绩拐点有望显现,高端装备制造及材料
252,2021-08-31,半年报解读|钢材涨价致徐工机械毛利率下滑 因客户多次逾期计提坏账近5亿元 盈利能力下降,财联社
253,2021-08-31,徐工机械上半年收入和净利润创历史最佳,上证报
254,2021-08-30,徐工机械(000425.SZ)2021年上半年共计提各类资产减值准备6.815亿元 资产异常,智通财经
255,2021-08-30,徐工机械(000425.SZ)半年度净利润38.03亿元 同比增长84.46%,格隆汇
256,2021-08-30,徐工机械：上半年净利润同比增长84.46%,Wind
257,2021-08-30,市场不买账？三一重工半年报：归属净利超百亿，股价“逆势”跌5.68%,搜狐
258,2021-08-30,227公司利润环比连增 134家步入绩优股行列,证券时报网
259,2021-08-30,浙商机械 邱世梁||王华君【三一重工】加大研发：电动化、智能化、国际化铸就全球工程机械龙头,高端装备制造及材料
260,2021-08-30,浙商机械 邱世梁||王华君 【聚光科技】业绩符合预期；质谱仪产品类比禾信仪器；进军临床市场,高端装备制造及材料
261,2021-08-29,浙商机械 邱世梁||王华君【利元亨】动力锂电设备订单爆发增长，中报业绩符合预期,高端装备制造及材料
262,2021-08-29,机械设备行业跟踪周报：机器视觉是长坡厚雪赛道 建议关注中报业绩亮眼的机床刀具和光伏设备龙头,新浪
263,2021-08-28,223公司利润不断改善 130家步入绩优股行列,证券时报网
264,2021-08-26,203公司利润环比连增 120家步入绩优股行列,证券时报网
265,2021-08-26,干货！2021年中国商用车行业龙头企业对比：东风汽车VS福田汽车VS一汽解放 谁“更胜一筹”？,前瞻研究院
266,2021-08-25,A股异动丨工程机械板块走弱 7月挖掘机销量降幅扩大 国内销量四连降 盈利能力下降,格隆汇
267,2021-08-25,8月25日午盘两市机构大单抛盘40股(名单),金融界
268,2021-08-25,8月25日早盘两市机构大单抛盘40股(名单),金融界
269,2021-08-25,浙商机械 邱世梁||王华君【先导智能】第二季度业绩同环比提速；订单饱满，增长可期,高端装备制造及材料
270,2021-08-24,利润环比连增+同比暴增 101匹盈利白马现身,证券时报网
271,2021-08-24,26只股遭北向资金减仓超20%,证券时报网
272,2021-08-24,浙商机械 邱世梁||王华君 【巨星科技】业绩符合预期，动力工具业务全年有望高增长！,高端装备制造及材料
273,2021-08-23,深度*行业*机械设备行业周报：全球首批管式PECVD异质结电池下线 HJT产业化进程持续加速,新浪
274,2021-08-21,184公司利润环比连增 108家步入绩优股行列,证券时报网
275,2021-08-19,177公司利润不断改善 105家步入绩优股行列,证券时报网
