744,2020-11-24,那些被华为卖掉的公司：曾挑战思科，现在是紫光股份“印钞机”,中国经济周刊
745,2020-11-23,智变 「政」当时 | 紫光股份旗下新华三中标广西壮族自治区财政预算管理一体化系统PaaS云平台项目,北国网
746,2020-11-23,通信行业周报：低关注度下的“预期差”,新浪
747,2020-11-23,计算机行业周报：智能汽车 鲶鱼搅动的一池春水,新浪
748,2020-11-23,通信行业周周谈(2020年第47周)：运营商密集布局ESIM卡 万物互联时代连接入口,新浪
749,2020-11-23,通信行业周报：中兴5G基站发货超25万站 笔电出货持续高增,新浪
750,2020-11-22,【招商通信余俊团队】运营商密集布局eSIM卡，万物互联时代连接入口——招商通信周周谈（2020年第47周）,俊Sir通信研究
751,2020-11-22,那些被华为卖掉的公司 后来都怎么样了？,新浪
752,2020-11-22,通信周报：5G＋工业互联网大会体现了什么新趋势？,新浪
753,2020-11-22,通信行业周报2020年11月第4期：10月运营商增速提升 中移动加强5G／IDC投入,新浪
754,2020-11-21,【招商通信余俊团队】通信行业2021年度投资策略：百转千回，蓄势待发,俊Sir通信研究
755,2020-11-20,紫光股份：旗下新华三中标广西财政云PaaS平台项目,e公司
756,2020-11-20,紫光计算机林浩：紫光目前最大的挑战还是自己,DoNews
757,2020-11-19,千亿债务压顶遭调降评级紫光集团如何自救 偿债能力下降,投资者网
758,2020-11-18,新基建数字化建设加速 紫光计算机携重磅Unis新品入局,中国经济网
759,2020-11-17,2021年通信行业投资策略：技术迭代到行业渗透的交点,新浪
760,2020-11-17,紫光集团13亿私募债违约，一年内到期债券规模超60亿 未按时兑付本息,Wind
761,2020-11-16,通信行业周报：华为提出5.5G 寻找5G应用的刚需场景,华安证券
762,2020-11-16,计算机行业周报：为什么我们看好工业软件-三维度深度剖析行业周报,新浪
763,2020-11-14,违约担忧将推高信用利差——2020年11月12日债市异常成交点评 未按时兑付本息,申万宏源固收研究
764,2020-11-13,债股双杀！旗下700亿芯片大牛股崩了，这家企业自救有戏吗,中国财富网
765,2020-11-13,债股双杀：700亿紫光国微崩了 紫光集团紧急自救有戏吗？,中证报
766,2020-11-13,市场要闻 | 芯片龙头大跌40%后百亿质押，紫光危机能否解除？,36氪
767,2020-11-12,6倍芯片巨头罕见跌停，背后原因或是它？,证券时报网
768,2020-11-11,【中金科技】云计算资本开支观察（3Q20）：2021年全球云资本开支预期上修,乐平科技视角
769,2020-11-11,招商通信周周谈(2020年第45周)：当前时点再看5G建设预期板块预期低点蓄力爆发,新浪
770,2020-11-11,10亿元信托贷款到期申请延期银行尚未批准，紫光集团偿债压力巨大 偿债能力下降,Wind
771,2020-11-10,通信周报：资金+基本面+长期趋势 通信行业三季报反映了哪些特点?,新浪
772,2020-11-09,紫光股份(000938)2020年三季报点评：Q3业绩平稳 现金流大幅改善,新浪
773,2020-11-09,【通信】机构持仓低位，基本面向上趋势不改,天风研究
774,2020-11-08,【招商通信余俊团队】当前时点再看5G建设预期：板块预期低点蓄力爆发——招商通信周周谈（2020年第45周）,俊Sir通信研究
775,2020-11-08,通信行业三季度基金持仓及业绩综述分析：越过山丘 柳暗花明,新浪
776,2020-11-07,“18紫光04”闪崩紫光集团上半年亏45.44亿元 亏损,GPLP犀牛财经
777,2020-11-07,通信行业周报2020第31期：通信行业Q3收入净利稳中有升 新基建如期驱动产业链多重机遇,新浪
778,2020-11-06,幸福人寿15亿认购大家资产专项产品计划终止 未实际受让紫光股份股票 并购重组异常,中国网
779,2020-11-05,运营商首次大规模集采！WiFi6产品加速普及产业链中上游或最先获益,科创板日报
780,2020-11-03,紫光股份(000938)2020年三季报点评：云计算业务逆势成长 从云入芯向下扎根,新浪
781,2020-11-03,恐慌还是贪婪，评判紫光应该知道这八条,中华网
782,2020-11-02,新华三集团、中国联通联合体中标成都高新区智慧大脑项目,Wind
783,2020-11-02,白皮书发布、重磅会议召开......超高清4万亿级蓝海待挖掘丨牛熊眼,第一财经
784,2020-11-01,【招商通信余俊团队】详解通信行业2020年前三季报及三季报：IDC、光模块、物联网、军工信息化等板块表现亮眼，看多板块年底行情,俊Sir通信研究
785,2020-10-30,【华创计算机王文龙团队】紫光股份：Q3业绩平稳，现金流大幅改善,蚊子搞科研
786,2020-10-30,【华西通信】紫光股份：IT分销收缩营收增速放缓，数字化方案贡献未来空间 盈利能力下降,香农圆桌沙龙
787,2020-10-30,市场继续震荡持有主线板块中优质标的 六股热门,证券时报
788,2020-10-29,紫光股份：林芝清创减持0.21%公司股份 减持股份,Wind
789,2020-10-29,紫光股份(000938.SZ)：前三季净利12.96亿元同比增长4.32%,格隆汇
790,2020-10-29,紫光股份：前三季度净利润同比增长4.32%,Wind
791,2020-10-28,通信运营商行业专题：Q3运营商业绩同增环减，数字化转型再添成长动能，维持“推荐”评级,长城证券
792,2020-10-28,七大金牛基金经理加仓这些股！接下来打算这么操作,中证报
793,2020-10-27,紫光股份(000938.SZ)：将受让紫光网芯基金2亿元认缴出资额,格隆汇
794,2020-10-27,【计算机】蚂蚁集团上市在即，关注云计算和金融IT―― 计算机行业周报――看好,渤海证券研究
795,2020-10-26,通信行业周报(2020年10月第3期)：维持运营商拐点判断 三季报联通继续领跑,新浪
796,2020-10-25,【招商通信余俊团队】网络、终端及应用协同发展，5G产业进入加速向上阶段——招商通信周周谈（2020年第43周）,俊Sir通信研究
797,2020-10-22,万亿产业互联网大战喧嚣，头部玩家为何争当“全能学霸”？,澎湃新闻
798,2020-10-21,紫光股份：旗下新华三集团与中国电信广东公司达成战略合作,Wind
799,2020-10-21,紫光股份：旗下新华三集团与中国电信广东公司达成战略合作,e公司
