,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
7137,2019-01-04,北上资金年度透视：净流入3000亿，增持超千股,证券时报
7138,2019-01-04,北上资金年度透视：净流入3000亿 增持超千股,证券时报
7139,2019-01-03,40亿回购托底股价的美的，估值未来会不会和格力看齐？,财华社
7140,2019-01-03,一周产业要闻回放（20190102）,我的钢铁
7141,2019-01-03,2018年最大规模实际回购出炉 美的集团40亿元回购额居首,证券日报
7142,2019-01-02,A股史上最大规模！美的40亿豪气回购提振家电股,云掌财经
7143,2019-01-02,美的集团40亿回购完成 白马蓝筹能否扭转行情走势,中金在线
7144,2019-01-02,"砸40亿真金白银,美的完成去年最大规模股份回购",中证报
7145,2019-01-02,盘前必读公告：上市公司重大消息一览！,巨丰财经
7146,2019-01-02,机构2018年调研逾1400家公司，海康威视连续三年最受青睐,证券时报
7147,2019-01-02,史上最大规模！美的集团40亿元顶格完成回购计划,证券时报
7148,2019-01-02,北上资金持续加仓“春季行情”,中证报
7149,2019-01-02,小家电行业专题报告:技术驱动产品创新:小而美的小家电市场,长城证券
7150,2019-01-01,史上最大规模！美的集团40亿回购实施完毕，2018年回购金额过亿元公司已达百家,证券时报网
7151,2019-01-01,美的集团耗资40亿元回购9500多万股 将被注销,挖贝网
7152,2019-01-01,1月1日晚间上市公司十大重磅公告,巨丰财经
7153,2019-01-01,美的集团：累计回购9511万股 完成回购方案,证券之星
7154,2019-01-01,美的集团股份回购实施完毕 累计回购约40亿元,北京商报网
7155,2019-01-01,美的集团：累计回购约40亿元，顶额完成回购方案,Wind
7156,2019-01-01,美的集团完成40亿元股份回购,中证网
7157,2019-01-01,美的集团：累计回购约40亿元 顶额完成回购方案,e公司
7158,2018-12-29,【华创家电】空调价稳收入快增，冰洗提速表现亮眼,月观家电
7159,2018-12-29,2018年北上资金十大重仓股出炉 部分个股被逆势增持超1亿股,中证网
7160,2018-12-29,"家用电器行业11月冰洗出货数据点评:冰洗出货量稳定,龙头份额提升",正点财经
7161,2018-12-29,2018年十大明星并购透视：国企改革与整合创新争艳,21世纪经济报道
7162,2018-12-29,"大消费行业专题研究:经济数据疲弱背景下,探寻消费的长期驱动力",信达证券
7163,2018-12-28,“抄袭”美的6个字被罚50万 格力电器到底冤不冤？ 诉讼纠纷,新浪
7164,2018-12-27,深港通十大成交活跃股排名（12月27日）,Wind
7165,2018-12-27,"家用电器行业周报:空调出口为十一月亮点,成本下行有望提升行业盈利水平",正点财经
7166,2018-12-27,"白色家电行业:美的集团&小天鹅,合并方案获高票通过,长期发展值得期待",正点财经
7167,2018-12-27,"家用电器行业2018W51周观点:中央经济工作会议召开,期待行业边际改善",正点财经
7168,2018-12-27,格力被判赔美的50万 家电企业竞争转向专利战技术战,广州日报
7169,2018-12-27,格力被判赔美的50万，家电企业竞争转向专利技术战,Wind
7170,2018-12-27,美的集团副总裁向卫民辞职 年薪为324万元,挖贝网
7171,2018-12-26,家用电器：美的与小天鹅的前世今生 荐8股,和讯
7172,2018-12-26,2018并购财务顾问红榜：华泰建投中信三足鼎立 民生天风奋起直追,21世纪经济报道
7173,2018-12-26,"家电行业2019年度策略报告:短期有忧,长期无虑",爱建证券
7174,2018-12-25,大额回购+业绩预喜，这些超跌股已获北上资金“举牌” 盈利能力下降,证券时报
7175,2018-12-25,数据王：上周北上资金小结,巨丰财经
7176,2018-12-25,410万甩卖蓝火 美的少主何剑锋洗壳重整华录百纳,时代周报
7177,2018-12-24,消费研究看长江 | 大消费周度行业专题研究精粹·2018W51,微信
7178,2018-12-24,美的换股吸收合并小天鹅：双赢合作，打造高端市场民族品牌,证券之星
