1299,2021-02-09,新希望：1月生猪销售收入环比减少36%,e公司
1300,2021-02-09,新希望：1月商品猪销售均价30.52元/公斤环比下降1%,格隆汇
1301,2021-02-09,新希望：1月销售生猪收入为25.07亿元，环比降36%、同比则增127%,Wind
1302,2021-02-09,A股2月9日房企股午盘：新希望跌3.48%,乐居财经
1303,2021-02-08,猪肉股高开高走，牧原股份涨近6%,Wind
1304,2021-02-08,春节临近猪价全面下行，养殖行业受两面夹击,Wind
1305,2021-02-05,农产品行业周报-生猪养殖系列报告六十五：如何看待养殖企业2020年业绩预告？,新浪
1306,2021-02-05,加快奶业全面振兴，中国奶业“十四五”战略指导意见编制工作正式启动,Wind
1307,2021-02-05,【行情】猪肉板块拉升，牧原股份涨8%，大北农涨5%，天邦股份、天康生物、新希望等跟涨,金十数据
1308,2021-02-05,猪肉股快速走强，牧原股份大涨6%,Wind
1309,2021-02-04,节前生猪出栏量持续增加 “猪肉自由”或有望实现,21世纪经济报道
1310,2021-02-04,新希望六和拟以不超4亿元回购股份，首次已回购100万股,新京报
1311,2021-02-04,新希望：首次回购公司股份100万股 成交总金额约2381.10万元,发布易
1312,2021-02-04,午间公告2021年2月4日星期四,Wind
1313,2021-02-03,新希望在澳煤矿扩建项目遭驳回 或面临进一步裁员,煤炭网
1314,2021-02-03,新希望刘畅：数字化 一定会发生,新浪
1315,2021-02-03,罕见大搏杀！千亿白马股又跌停，百亿资金狂抄底！,中国基金报
1316,2021-02-03,新希望(000876.SZ)：本轮回购2月3日首次回购100万股,格隆汇
1317,2021-02-03,刘永好在新希望总经理大会，重点谈了组织再造、数字化,新浪
1318,2021-02-03,解盘：消费、金融拉指数，稀土、疫苗、猪鸡肉领涨,Wind
1319,2021-02-03,A股融资融券日报：两融余额增加18.01亿元（2月2日）,Wind
1320,2021-02-01,农林牧渔2021年第5周周报：疫情反复 猪价或超预期 头部养殖集团估值如何修复？,新浪
1321,2021-02-01,【国君农业】周报：行业预期调整，养殖龙头α属性凸显,农业凯歌
1322,2021-02-01,猪肉股低开高走，牧原股份大涨8%,Wind
1323,2021-01-31,探索数字经济赋能实体产业新路径 成都新津加快动力变革推进高质量发展,每日经济新闻
1324,2021-01-29,猪肉板块单边下滑，牧原股份、双汇发展、新希望、温氏股份、大北农齐跌,Wind
1325,2021-01-28,A股1月28日房企股跌幅榜：新希望跌4.38%位居首位,乐居财经
1326,2021-01-27,新希望竞得成都1宗商业用地,中证网
1327,2021-01-27,年报高预增集中在这几个板块，圣湘生物7008%暂时成为预增王,Wind
1328,2021-01-27,新希望今日大宗交易成交12万股，成交价25.0元溢价8.51%,Wind
1329,2021-01-27,土拍｜成都以17.04亿元出让两宗地块 新希望以12.47亿元竞得一宗,财经网
1330,2021-01-27,新希望12.47亿元摘成都双流区商住地块 溢价7.48%,乐居财经
1331,2021-01-27,新希望10555元/平方米竞得成都1宗商住用地 溢价率7.48%,中金在线
1332,2021-01-27,猪企2020年度业绩集体井喷，借高猪价或难持续，期货上市给未来更多看点,搜狐
1333,2021-01-27,成都双流商用地揽金17亿 新希望、空港兴城各得其一,观点地产网
1334,2021-01-27,【行情】农牧板块维持向上走势，牧原股份涨超7%，新希望、新农开发等股齐涨,金十数据
1335,2021-01-27,一头猪利润超一瓶茅台，河南首富年赚300亿，万科碧桂园进场搅局,新浪
1336,2021-01-27,饲料价格持续攀涨，养殖业挣钱压力大了,Wind
1337,2021-01-27,上市养殖企业大比拼： 得母猪者得天下,第一财经
1338,2021-01-26,得母猪者得天下，上市猪企比拼关键看能繁母猪存栏,第一财经
1339,2021-01-26,核心高管离职！股价腰斩，负债609亿，新希望新管理层如何突破？,投资时报
1340,2021-01-26,业绩预告点燃整个板块！这波行情还能持续多久？,上证报
1341,2021-01-26,新希望拟2-4亿回购股票 稳价效应尚待检验,金融投资报
1342,2021-01-26,A股收盘综述：上证指数跌1.51%失守3600点，创业板指跌近3%,Wind
1343,2021-01-26,A股午盘综述：上证指数跌1.2%，创业板指跌2.39%.,Wind
1344,2021-01-26,猪肉股高开高走，天邦股份强势封板,Wind
1345,2021-01-26,【行情】养猪板块集体走高，天邦股份涨停，新希望、立华股份、牧原股份、正邦科技等集体拉升,金十数据
1346,2021-01-26,猪肉股逆势走强，天邦股份涨近6%,Wind
1347,2021-01-26,新希望：拟使用2亿元-4亿元回购公司股份 回购价格不超34.4元/股,房天下
1348,2021-01-26,A股早报2021年1月26日星期二,Wind
1349,2021-01-25,控制95.5%股份 刘永好携华融化学冲击IPO,北京商报
1350,2021-01-25,新希望(000876.SZ)：拟以2亿元-4亿元回购公司股份,格隆汇
