,2021-12-31,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
208,2021-10-26,业绩稳步增长 中国建筑前三季度实现净利润378.30亿元,中证网
209,2021-10-26,中国建筑：第三季度营收4003亿元，同比增长15.06%,澎湃新闻
210,2021-10-26,中国建筑公布三季报 前三季净利增加21.5%,新浪
211,2021-10-26,前三季度中国建筑营收1.38万亿元 房地产贡献2178 亿元,观点地产网
212,2021-10-26,中国建筑：前三季度净利润同比增长21.5%,Wind
213,2021-10-26,图解中国建筑三季报：第三季度单季净利润同比增7.88%,证券之星
214,2021-10-26,中国建筑：前三季度归属股东净利润378.3亿元 同比增长21.5%,中国网
215,2021-10-26,中国建筑(601668.SH)前三季度归母净利润同比增长15.32%至724.87亿元,智通财经
216,2021-10-26,中国建筑第三季度归母净利润121.87亿元，同比增7.88%,乐居财经
217,2021-10-26,交卷！中国建筑：2021年第三季度净利润约121.87亿元，同比增长7.88%,每日经济新闻
218,2021-10-26,中国建筑：第三季度归母净利121.87亿元 同比增7.88%,财联社
219,2021-10-26,中国建筑(601668.SH)：第三季度归母净利增7.88%至121.87亿元,格隆汇
220,2021-10-26,中国建筑17亿元小公募项目状态更新为“已反馈”,观点地产网
221,2021-10-26,中国建筑17亿元小公募债券项目状态更新为“已反馈”,乐居财经
222,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
223,2021-10-25,“时代精神耀香江”之大国建造主题展在港开幕,经济日报
224,2021-10-22,中国建筑：2021年1-9月公司新签合同额2.45万亿元，同比增长10.1%,第一财经
225,2021-10-22,中国建筑：公司目前没有养猪业务布局及计划,每日经济新闻
226,2021-10-22,中国建筑：1-9月公司新签合同额2.45万亿元，同比增长10.1%,每日经济新闻
227,2021-10-22,中国建筑：公司生产经营一切正常，已入选MSCI中国A50互联互通指数成分股,每日经济新闻
228,2021-10-22,中国建筑：近期获得8个重大项目 项目金额合计219.3亿元,中金在线
229,2021-10-21,【晚间公告抢先看】深南电A天然气发电上网电价调整、中国联通A股第三季度净利同比增长14%,金融界
230,2021-10-21,中国建筑中标上海美的全球创新园区施工项目等，涉资219.3亿元,乐居财经
231,2021-10-21,中国建筑：近期中标8个重大项目 项目金额合计219.3亿元,e公司
232,2021-10-21,中国建筑：近期获得合计219.3亿元若干重大项目,财联社
233,2021-10-21,中国建筑(601668.SH)：近期获得合计219.3亿元的若干重大项目,格隆汇
234,2021-10-21,中国建筑：1-9月新签合同额24528亿元，同比增长10.1%-网,钢企网
235,2021-10-21,又一公司爆雷！实控人为前辽宁首富，现资金链岌岌可危,Wind
236,2021-10-21,24528亿元！中国建筑前三季度经营业绩很喜人！,微信
237,2021-10-20,北向资金两日净买入80亿，连续五日加仓宁德时代,Wind
238,2021-10-20,中国建筑17亿元小公募债券项目状态更新为“已反馈”,乐居财经
239,2021-10-19,中金：9月经济数据解读与资产配置,Wind
240,2021-10-18,中国建筑前三季度地产业务合约销售额3006亿元,新京报
241,2021-10-18,建筑与工程行业周报：淡化短期波动 中长期钢结构景气依旧,新浪
242,2021-10-18,中国建筑公布2021年前9个月经营简报，订单平稳增长,证券时报网
243,2021-10-18,中国建筑前9个月地产业务合约销售额3006亿元，同比增8.3%,乐居财经
244,2021-10-18,中国建筑(601668.SH)前三季度新签合同总额2.45万亿元 同比增长10.1%,智通财经
245,2021-10-18,中国建筑：前9月地产业务合约销售额3006亿元 同比增8.3%,中金在线
246,2021-10-18,中国建筑：1-9月新签合同总额同比增长10.1%,第一财经
247,2021-10-18,中国建筑(601668.SH)：1-9月新签合同总额24528亿元 同比增长10.1%,格隆汇
248,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
249,2021-10-17,建筑装饰周观点：鸿路钢构Q3订单大幅增长 第二批REITS上报有望带动建企运营资产重估,新浪
250,2021-10-17,建筑钢铁行业周报：建筑、钢铁行业的估值调整可能暂时告一段落,新浪
251,2021-10-16,港创建材二次闯关IPO：政府补助年均近3000万 曾使用不合格原材料被罚 产品问题,中华网
252,2021-10-15,中国建筑行业2021年上半年业绩概览,第一财经
253,2021-10-15,厦门安禧违法擅自开工被罚 已更名中建二局厦门公司 其他违规处罚,中国经济网
254,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
255,2021-10-15,中国建筑承建的粤东最大民用机场主体结构通过竣工验收－国务院国有资产监督管理委员会,国资委
256,2021-10-12,建筑行业跟踪报告：建筑高景气延续 屋顶分布式光伏、抽水蓄能迎机遇,新浪
257,2021-10-11,中国建筑控股子公司环境违法被罚3万元 环保处罚,每日经济新闻
258,2021-10-11,建筑装饰行业周报：BIPV前景广阔 关注产业链投资机会,新浪
259,2021-10-10,【安信建筑】行业周报1010：专项债发行提速有望助力基建投资提升，粤港澳区域交通建设获大力推进,勇往直前
260,2021-10-10,中建装饰成为被执行人，执行标的约117万元 被执行人,乐居财经
261,2021-09-30,普联软件：公司在对中国石油、中国建筑等客户服务过程中，目前没有涉及到应用区块链开具发票,每日经济新闻
262,2021-09-30,中国建筑：根据公司2021年半年度报告，公司新签合同额同比增长21.0%，营收同比增长28.6%,每日经济新闻
263,2021-09-30,A股融资融券日报：两融余额减少147.36亿元（9月29日）,Wind
264,2021-09-30,头豹研究院：2021年中国人工智能在房地产行业中的应用研究报告（附下载）,199IT
265,2021-09-29,2021年中国建筑幕墙行业市场规模及竞争格局分析 市场集中度有待进一步提高,前瞻研究院
266,2021-09-29,建材/建筑与工程行业周报(第三十七周)：消费建材继续承压 继续首推工业新材料,新浪
267,2021-09-28,建筑装饰行业点评：能建回A在即 重视建筑央企变革升级前景,新浪
268,2021-09-28,晚间重要公告2021年9月28日星期二,Wind
269,2021-09-28,中国建筑近期获6大项目 涉及金额172.7亿元,观点地产网
270,2021-09-28,中国建筑：近期获得6个重大项目，项目金额合计172.7亿元,乐居财经
271,2021-09-28,中国建筑(601668.SH)近期获172.7亿元重大项目,智通财经
272,2021-09-27,建筑与工程行业周报：央企中为何给予中化、电建和中冶高估值,新浪
273,2021-09-27,中国建筑承建的援柬埔寨体育场项目正式移交，境外业务持续健康发展,中证网
274,2021-09-27,中国建筑承建的雄安新区首个净水厂正式供水－国务院国有资产监督管理委员会,国资委
275,2021-09-26,兴证建筑每周观点：国常会再提跨周期调节 重视地方国企的轮动补涨机会,新浪
276,2021-09-25,2021中国企业500强榜单出炉！,Wind
277,2021-09-24,中国建筑：深耕5G时代 畅想智慧生活 助力价值成长,中证网
278,2021-09-24,中国建筑董事长周乃翔：推动装配式建筑业务提档升级,中证网
279,2021-09-24,深度*行业*建筑行业2021年中报综述：央企与地方建企业绩稳步增长 装配式建筑表现突出,新浪
280,2021-09-23,中国建筑设计的全球最长高分子3D打印桥正式启用－国务院国有资产监督管理委员会,国资委
281,2021-09-23,中国建筑签约柬埔寨皇家环球金融中心项目,微信
282,2021-09-22,中国建筑：在我国改革发展历程中，中国建筑投资建设了90%以上的300米以上高层建筑项目,每日经济新闻
283,2021-09-22,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
284,2021-09-22,中国建筑：中建交通、中建科技和中建隧道均为中国建筑专业子公司，承担着公司转型升级和价值创造的任务,每日经济新闻
285,2021-09-22,中国建筑：公司房建业务竞争优势持续扩大，上半年市场份额占有率稳步提升,Wind
286,2021-09-22,建筑装饰行业周报：8月投资数据公布 竣工持续亮眼表现 基建形成一定拖累,新浪
287,2021-09-21,建筑行业专题报告：基建托底预期强化 持续看好建筑央企、装配式板块,新浪
288,2021-09-21,建筑装饰周观点：基建投资回落、整县试点落地 继续关注大建筑股和“新能源+”主线机会,新浪
