,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
2364,2019-12-14,中企联合体中标巴西跨海大桥项目，总投资22亿美元,Wind
2365,2019-12-14,中企联合体中标巴西跨海大桥项目,第一财经
2366,2019-12-14,红塔证券进上证50指数惹争议 谁来监管指数规则？,股市动态分析
2367,2019-12-13,222期「信·期权」—— 50ETF全周上涨2.18%，历史波动率及隐含波动率均有所上升,爱期权
2368,2019-12-13,银河证券：建筑业绩和估值或触底回升，2020年推荐基建、工建等,证券时报网
2369,2019-12-13,【国信宏观固收】私募EB每周跟踪,国信固收研究
2370,2019-12-13,【申万宏源建筑】政策导向稳字当头，国企改革预期加速——中央经济工作会议点评,申万宏源建筑行业研究
2371,2019-12-11,宋海良会见国开行行长欧阳卫民,中国交建
2372,2019-12-11,【中金固收·信用】中国短期融资券及中期票据信用分析周报 20191211,中金固定收益研究
2373,2019-12-10,基建行业迎来拐点 三大子行业催生机会,财富动力网
2374,2019-12-10,贾龙飞 苛守0.2毫米的铺路人,北京商报
2375,2019-12-09,宋海良会见郑州市长王新伟,中国交建
2376,2019-12-09,近70亿资金护航！邮储银行回A 国有六大行明日上演“大团聚”,证券时报
2377,2019-12-06,刘起涛会见成都市委书记范锐平,中国交建
2378,2019-12-06,焦点话题丨冰火两重天！科技龙头疯狂带节奏 多只白马股跌入深坑,第一财经
2379,2019-12-06,国信证券：基建投资触底回升，行业迎来拐点,证券时报网
2380,2019-12-06,建筑行业2020年投资策略：基建投资触底回升，行业迎来拐点,国信研究
2381,2019-12-06,中国交建：目前经营业绩稳定，会持续关注资本市场对公司的意见与建议,第一财经
2382,2019-12-06,【化工】603916*苏博特：受益外加剂集中度提升，量效齐升成长加速*买入,中银国际证券研究
2383,2019-12-06,创业板终于嗨了 这类板块成牛股集中营,证券时报
2384,2019-12-06,消费电子大涨！无线耳机之后还有哪些方向值得关注,红周刊
2385,2019-12-05,中国交建(601800.SH)董事会同意设立粤港澳、广西、长三角、山东四个区域总部,格隆汇
2386,2019-12-05,中国交通建设(01800)拟设立粤港澳大湾区投资公司 注册资本3亿元,智通财经
2387,2019-12-05,犀牛财经早报：四川取缔不合规P2P网贷 100款App下架整改,GPLP犀牛财经
2388,2019-12-05,中国交建(01800.HK)拟设立粤港澳大湾区投资公司,格隆汇
2389,2019-12-05,中国交建(01800.HK)子公司中国路桥为其控股的项目公司2490万美元融资提供担保 大额借贷担保,格隆汇
2390,2019-12-05,中国交建（601800.SH）:被剔除富时中国A50指数，未来还可以期待吗？ 剔除指数,格隆汇
