258,2021-07-15,【行情】上海本地股早盘走强，陆家嘴拉升涨逾6%，张江高科、上海临港、浦东金桥、外高桥等跟涨,金十数据
259,2021-07-14,徐咏雷卸任国泰君安证券独立财务顾问主办人，曾蕴也上任,乐居财经
260,2021-07-13,隆盛科技(300680)：国六+碳中和政策已至 新能源征途“隆盛”开启,新浪
261,2021-07-12,上海临港126天超短期融资券兑付完成，本息合计10.1亿元,乐居财经
262,2021-07-12,上海临港兑付10亿元超短期融资券，利率2.95%,乐居财经
263,2021-07-07,上海临港(600848.SH)完成发行10亿元2021年度第四期超短期融资券,智通财经
264,2021-07-07,覆盖全出行链无人驾驶渐行渐近,浦东时报
265,2021-07-06,闻泰科技拟收购英国最大晶圆厂，未来盈利能力面临考验,第一财经
266,2021-07-05,上海临港这条新建高架通车！将盘活新片区对外交通,上观
267,2021-07-05,地产行业周报：中央发文支持保障房建设 商票纳入三道红线监管,新浪
268,2021-07-02,直播丨“工商银行杯·上海临港前沿产业与创业路演秀”第二场,第一财经
269,2021-07-02,上海临港嘉定科技城,工业电器网
270,2021-07-01,“药中茅台”12天股价翻倍！重磅利好板块多股涨停,Wind
271,2021-07-01,上海自贸区板块午前异动，上海临港涨超4%,Wind
272,2021-06-30,无缝衔接轨交16号线，上海临港中运量1号线首发运营啦！,澎湃新闻
273,2021-06-30,深度*公司*芯源微(688037)：上半年盈利大幅增长 全年高增长定调,新浪
274,2021-06-30,上海临港中运量1号线首发运营，无缝衔接轨交16号线,澎湃新闻
275,2021-06-27,太突然！特斯拉又有事，遭1700亿巨头清仓,Wind
276,2021-06-25,“G60科创走廊+五大新城”发力，A股多家公司搭乘长三角发展快车,新浪
277,2021-06-25,上海临港现1笔大宗交易 共成交342.20万元,新浪
278,2021-06-25,上海临港今日大宗交易成交18.72万股，成交价18.28元溢价0.0%,Wind
279,2021-06-25,穆迪：维持上海临港经济发展集团“Baa1”发行人评级，展望“稳定”,Wind
280,2021-06-24,芯源微(688037)首次覆盖报告：涂胶显影龙头 加速受益国产替代,新浪
281,2021-06-24,上海临港参股成立新公司，注册资本30亿,贝壳财经
282,2021-06-23,多地房贷收紧，地产估值已处于历史低位，价值投资还有吗？,Wind
283,2021-06-23,上海临港拟投资15亿元设立G60科创集团 推动科创走廊产业转型升级,证券日报网
284,2021-06-23,上海临港拟投15亿参与设立G60科创集团 参股园内企业3年投资收益超7亿,长江商报
285,2021-06-23,上海临港：投资尚处初期状态 目的是为参与松江及周边区域科创经济发展｜公司问答,第一财经
286,2021-06-23,上海工厂早就量产，为何特斯拉德国工厂遥遥无期？,Wind
287,2021-06-23,A股早报2021年6月23日星期三,Wind
288,2021-06-22,上海临港联合设立G60科创集团,上证报
289,2021-06-22,晚间重要公告2021年6月22日星期二,Wind
290,2021-06-22,6月22日桐昆股份、上海临港等10家公司公告出现利好,证券之星
291,2021-06-22,晚间公告｜6月22日这些公告有看头,第一财经
292,2021-06-22,上海临港拟投资15亿元成立上海G60科创公司,观点地产网
293,2021-06-22,上海临港：拟投资15亿元设立合资公司,中证网
294,2021-06-22,上海临港拟出资15亿元成立G60科创集团 持股50%,乐居财经
295,2021-06-22,上海临港(600848.SH)拟共设合资公司推进G60科创走廊建设,智通财经
296,2021-06-22,上海临港：拟投资设立上海长三角G60科创经济发展集团,e公司
297,2021-06-22,上海临港中运量1号线下周三起开通运营：共10站，票价2元,澎湃新闻
298,2021-06-21,【读财报】芯源微：定增加速涂胶显影设备研发 或面临供应商供货不稳定风险,面包财经
299,2021-06-18,预见智能时代：“SLIDES”临港新片区路演秀人工智能与集成电路专场来了！,第一财经
300,2021-06-18,民生证券：芯源微（688037.SH）半导体设备国产之光，首予“推荐”评级,智通财经
301,2021-06-12,上市公司正负面新闻2021年6月12日星期六,Wind
302,2021-06-11,晚间重要公告2021年6月11日星期五,Wind
303,2021-06-11,芯源微拟定增募资10亿元 投入临港研发及产业化等项目,e公司
304,2021-06-11,芯源微：拟定增募资不超10亿元,Wind
305,2021-06-11,上海临港信息飞鱼项目成功摘地 打造数字经济新模式,上证报
306,2021-06-10,上海临港将于6月22日分红 每股派0.30元,乐居财经
307,2021-06-10,上海临港(600848.SH)2020年度A股权益分派10转2派3元股权登记日为6月21日,格隆汇
308,2021-06-10,上海临港(600848.SH)拟每10股转增2股派3元 6月22日除权除息,智通财经
309,2021-06-10,上海临港大涨,新浪
310,2021-06-09,上海临港金融、贸易发展“十四五”规划出炉 资本项目可兑换与离岸贸易都将有重大突破,上证报
311,2021-06-08,"上海本地股掀涨停潮,聪明钱加速抢筹，四主线布局浦东“这盘棋”",时代财经
312,2021-06-08,上海临港：离岸贸易与国际金融服务平台正式上线,中证网
313,2021-06-08,上海临港：助力上海建设国际金融中心和国际贸易中心,中证网
314,2021-06-08,上海临港收报23.02元涨8.5% 总市值483.9亿元,乐居财经
315,2021-06-08,什么信号？茅台五粮液大跌！825亿杠杆资金跑步入场,Wind
