,2021-12-31,东方雨虹：公司会根据战略发展规划、市场需求及现有产能布局等因素合理安排产能投放计划,每日经济新闻
2980,2019-06-04,东方雨虹(002271.SZ)截至5月底累计回购3.515亿元的股份,格隆汇
2981,2019-06-03,东方雨虹合计斥资约3.52亿元回购股份,乐居财经
2982,2019-06-03,建筑建材行业：东方雨虹,信达证券
2983,2019-05-31,东方雨虹副总裁张洪涛减持计划期间提前终止减持计划,挖贝网
2984,2019-05-30,【机构风向标】保险业迎抵税新规，多只保险股获机构推荐,证券时报网
2985,2019-05-30,[公司]东方雨虹董事提前终止减持计划,全景网
2986,2019-05-29,建材：全国玻璃库存持续下降 荐4股,中银国际
2987,2019-05-28,东方雨虹(002271.SZ)：实控人李卫国质押的6786.231万股展期及解除质押2216.231万股,格隆汇
2988,2019-05-28,东方雨虹：实控人李卫国解除质押2216万股份,乐居财经
2989,2019-05-23,东方雨虹：雨虹转债价格调为22.33 元/股,乐居财经
2990,2019-05-23,东方雨虹：2018年度实施每10股派3元,乐居财经
2991,2019-05-23,东方雨虹(002271.SZ)拟每10股派3元 股权登记日为5月29日,格隆汇
2992,2019-05-23,[快讯]东方雨虹公布2018年年度分红方案,中财网
2993,2019-05-17,东方雨虹：控股股东李卫国解除质押约3000万股公司股票,乐居财经
2994,2019-05-17,[快讯]东方雨虹发布解除质押公告 涉及股份27176万股,中财网
2995,2019-05-17,东方雨虹(002271.SZ)实控人解除质押3010.73万股,格隆汇
2996,2019-05-17,东方雨虹(002271.SZ)2019年至今累计获得政府补助2.44亿元,格隆汇
2997,2019-05-17,快讯：东方雨虹累计获得政府补助合计约2.44亿元,乐居财经
2998,2019-05-17,早间公告：*ST康得股东大会延期至6月6日；东方雨虹子公司获1.35亿元政府补助,e公司
2999,2019-05-17,早间公告：*ST康得股东大会延期至6月6日,Wind
3000,2019-05-14,北京东方雨虹防水技术股份有限公司关于部分高级管理人员股份减持计划实施进展的提示性公告 减持股份,证券时报
3001,2019-05-13,东方雨虹：副总裁王文萍减持10.5万公司股,乐居财经
3002,2019-05-13,东方雨虹：副总裁减持计划时间过半，累计减持0.007%公司股份 减持股份,Wind
3003,2019-05-13,周一机构一致看好的七大金股（05.13）,中金在线
3004,2019-05-13,【建材-东方雨虹(002271)】张琰、祝仲宽（研究助理）：承前启后，历久弥新-20190510,中泰证券研究所
3005,2019-05-13,"平安证建材行业2018年年报及2019年一季报业绩综述:板块业绩表现分化,开工端建材景气持续 盈利能力下降",平安证券
3006,2019-05-08,深圳铁路枢纽总图规划获得批复 六股迎腾飞契机,证券时报网
3007,2019-05-07,东方雨虹：累计回购约2354万股公司股,乐居财经
3008,2019-05-07,东方雨虹(002271.SZ)截至4月底累计回购3.52亿元股份,格隆汇
3009,2019-05-05,【华泰建筑建材鲍荣富】建材周观点20190505：年报及一季报维持高景气，继续推荐后周期消费建材,华泰建筑建材研究
3010,2019-04-29,东方雨虹一季度净利1.27亿同比增长29% 现金流量净额为-29.26亿元,挖贝网
3011,2019-04-28,东方雨虹(002271)：收入保持快速增长 毛利率有所下降 盈利能力下降,国盛证券
3012,2019-04-26,东方雨虹入选2019 A股“漂亮100”潜力榜,证券时报网
3013,2019-04-26,【华泰建筑建材鲍荣富】东方雨虹19年一季报点评：19Q1 业绩超预期，高质量成长可期,华泰建筑建材研究
3014,2019-04-26,东方雨虹发布2019年第一季度报告 营收保持高增长,新浪
3015,2019-04-26,【东方雨虹|季报点评】营业收入快速增长，盈利质量有望提升【天风建材盛昌盛团队】,材料盛视
3016,2019-04-26,【朝闻国盛0426】流动性：以前松不松，现在紧不紧；宁波银行深度报告,国盛证券研究所
3017,2019-04-26,北京东方雨虹防水技术股份有限公司2019第一季度报告,证券时报
3018,2019-04-25,东方雨虹2019Q1营收增长41%，发力民用防水业务增速存疑,亿欧网
3019,2019-04-25,东方雨虹：一季度净利润同比增28.89%,Wind
3020,2019-04-25,建材：两条主线下的板块超配 荐3股,和讯
3021,2019-04-25,"东方雨虹子公司施工""闯红灯"" 今年两登北京住建委黑榜 其他违规处罚",中国经济网
3022,2019-04-23,建材：三四线竣工利好家装建材 荐5股,中银国际
3023,2019-04-23,地产开工超预期水泥及消费建材受益,华泰建筑建材研究
3024,2019-04-19,这些企业为何被请进中南海？,新浪
3025,2019-04-18,东方雨虹（002271.SZ）：细分市场的超级龙头 静待业绩回归,格隆汇
3026,2019-04-15,建材：砂石骨料毛利率较高 荐5股,中银国际
3027,2019-04-10,建材：上半年水泥需求乐观 荐3股,中银国际
3028,2019-04-08,快讯：东方雨虹持股5%以上股东拟减持约1000万股 减持股份,乐居财经
3029,2019-04-08,东方雨虹：五名董事及高级管理人员拟合计减持不超0.68%股份 减持股份,Wind
3030,2019-04-08,东方雨虹：拟合计减持1016万股份,乐居财经
3031,2019-04-08,"东方雨虹:营收高增长态势不减,经营质量有所提升",信达证券
3032,2019-04-03,"申万宏源：将东方雨虹评级调高为""买入""",Wind
3033,2019-04-03,"东方雨虹:回款催收现金改善,精简人员降本增效",证券之星
3034,2019-04-02,上调评级至买入策略选股（4月2日）,Wind
3035,2019-04-02,201股获券商买入评级 迪安诊断目标涨幅达82.48%,Wind
3036,2019-04-02,地产景气后周期直接受益龙头，营收体量是前十大同行之和，18年增收部分再造一家友商，细分市场3倍空间，分析师保守测算股价要涨近40%【4月2日头条研报】,和讯
3037,2019-04-02,"东方雨虹:防水行业龙头,股价仍被低估",申万宏源
3038,2019-04-01,东方雨虹(002271)：销量提高 营业收入持续增长,东兴证券
3039,2019-04-01,东方雨虹：2019年第一季度雨虹转债转股524股,乐居财经
3040,2019-04-01,东方雨虹：累计回购2354万公司股份,乐居财经
3041,2019-04-01,东方雨虹：控股股东李卫国累计质押3.02亿股股份,乐居财经
3042,2019-04-01,184股获券商买入评级 每日互动目标涨幅达71.39%,Wind
3043,2019-04-01,"东兴证券：将东方雨虹评级调高为""强烈推荐""",Wind
3044,2019-03-29,【国信建材|年报点评】东方雨虹(002271)：收入大幅增长，看好长期成长性,国信证券建材研究
3045,2019-03-29,【建材-东方雨虹(002271)】张琰、祝仲宽（研究助理）：Q4单季收入环比加速，2019开启稳健增长模式-20190328,中泰证券研究所
3046,2019-03-28,东方雨虹：多品类战略开始展露头角 维持“买入”评级,证券时报网
3047,2019-03-28,大幅上调目标价策略（3月28日）,Wind
3048,2019-03-28,东方雨虹(002271)：收入增速逐季提升 费用率管控得力,天风证券
3049,2019-03-28,"建材行业周报:水泥价格调查无碍,沿江熟料如期提涨",正点财经
3050,2019-03-28,东方雨虹（002271.SZ）：保持高增长且经营质量大幅改善 20190328,鲍大侠之建材
3051,2019-03-28,东方雨虹去年净利15.08亿元 同比增长22% 董事长李卫国年薪为85万元,挖贝网
3052,2019-03-28,"东方雨虹2018年年报点评:营收增长强劲,由量转质稳健发展",光大证券
3053,2019-03-27,【华泰建筑建材鲍荣富】东方雨虹18年报点评：18业绩符合预期，静待渠道改革良效,华泰建筑建材研究
3054,2019-03-27,东方雨虹2018年营收逾140亿 增长36.46%,新浪
3055,2019-03-27,[快讯]东方雨虹公布年报,中财网
3056,2019-03-27,东方雨虹：2018年净利润18.22亿元 同比增加21.64%,乐居财经
3057,2019-03-27,东方雨虹：2018年净利15.08亿元 同比增22%,e公司
3058,2019-03-27,东方雨虹：拟为下游经销商提供不超过6亿元担保 大额借贷担保,Wind
3059,2019-03-27,东方雨虹：为下属公司提供97.1亿元担保 大额借贷担保,Wind
3060,2019-03-27,东方雨虹(002271.SZ)2018年净利润升21.74%至15.08亿元 拟10派3元,格隆汇
3061,2019-03-27,东方雨虹：2018年净利增逾2成，拟10派3元,Wind
3062,2019-03-27,建筑建材行业:东方雨虹,正点财经
3063,2019-03-25,东方雨虹(002271.SZ)第二大股东许利民解除质押1780万股,格隆汇
3064,2019-03-25,[快讯]东方雨虹发布解除质押公告 涉及股份4104万股,中财网
3065,2019-03-25,基建投资企稳回升六股狂欢,中财网
3066,2019-03-24,【华泰建筑建材鲍荣富】建材周观点20190323：首推地产竣工改善相关标的,华泰建筑建材研究
3067,2019-03-21,东方雨虹：1304万股公司股份被质押,乐居财经
3068,2019-03-20,建材：关注水泥区域行情 荐4股,中银国际
3069,2019-03-20,非金属类建材行业:2019年1~2月建材行业需求端数据点评,光大证券
3070,2019-03-19,建筑建材行业:东方雨虹,信达证券
3071,2019-03-12,[中性评级]建材行业周报：2月PPI平稳 新开工很悲观吗？,中财网
3072,2019-03-11,"建材行业周报:资金环境有所改善,开工需求有望得到支撑",正点财经
3073,2019-03-11,建筑材料行业周报:密切关注当前水泥龙头的配置价值,正点财经
3074,2019-03-09,券商首次关注2股并给予买入评级（3月9日）,Wind
3075,2019-03-08,东方雨虹：防水行业领军者 持续补充成长动能,证券时报网
3076,2019-03-06,建材：水泥周期尾声渐至 荐4股,中银国际
3077,2019-03-05,25家上市公司发布2018业绩，定制、家纺、照明行业迎来新挑战,亿欧网
3078,2019-03-05,"建材行业周报:继续看好地产竣工修复,推荐北新建材、旗滨集团",正点财经
3079,2019-03-05,东方雨虹回购公司股份3.52亿元,乐居财经
3080,2019-03-04,天风轻工：从产业链上下游验证看好地产后市场机会,新浪
3081,2019-03-03,【华泰建筑建材鲍荣富】建材周观点20190303：长三角复工良好，关注三月需求回暖,华泰建筑建材研究
3082,2019-03-01,李立峰：A股收益率最肥美阶段已经过去 建议投资者见好就收(附金股),国金证券
3083,2019-02-28,东方雨虹股东李卫国质押 1600万股,乐居财经
3084,2019-02-28,[快讯]东方雨虹发布质押公告 涉及股份32584万股,中财网
3085,2019-02-28,东兴证券2019年3月十大金股,东兴研究圈
3086,2019-02-27,大幅上调目标价策略（2月27日）,Wind
3087,2019-02-27,券商首次关注8股并给予买入评级（2月27日）,Wind
3088,2019-02-27,103股获券商买入评级 吴江银行目标涨幅达54.64%,Wind
3089,2019-02-26,【国金建筑黄俊伟|东方雨虹业绩快报点评】业绩增长符合预期，地产承压不改长期趋势,建伟知筑
3090,2019-02-26,东方雨虹2018年净利润15亿增长22% 毛利润逐步提高所致,挖贝网
3091,2019-02-26,东方雨虹：收入增长加速，组织架构调整寻求模式变革,证券时报网
3092,2019-02-26,"东方雨虹:Q4收入增长提速,彰显龙头地位",联讯证券
3093,2019-02-25,李骞：家居大佬喊出了千亿目标的多 有戏的就这几家,乐居财经
3094,2019-02-25,东方雨虹：2018年净利15.18亿元 同比增23%,金融界
3095,2019-02-25,东方雨虹发布2018业绩：营收142亿，增长38%,亿欧网
3096,2019-02-25,东方雨虹：2018年净利润15.18亿元 同比增长22.54%,乐居财经
3097,2019-02-25,东方雨虹：2018年净利润同比增长23%,e公司
3098,2019-02-25,东方雨虹(002271.SZ)2018年度净利润升22.54%至15.18亿元,格隆汇
3099,2019-02-25,东方雨虹：2018年净利润同比增22.54%（快报）,Wind
3100,2019-02-25,"建材行业深度报告:雄安新气象,水泥谱新篇",正点财经
3101,2019-02-20,东方雨虹：公司高级管理人员发生变更,Wind
3102,2019-02-20,"非金属建材周报;冷静应对,价值投资",国信证券
3103,2019-02-19,"非金属类建材行业周报:重视竣工回暖,关注水泥节后价格韧性",国金证券
3104,2019-02-18,【国金建材黄俊伟|周观点】重视竣工回暖，关注水泥节后价格韧性,建伟知筑
3105,2019-02-15,【国信建材|月度策略】非金属建材行业2月投资策略：白马股估值修复，优质小盘股超跌反弹,国信证券建材研究
3106,2019-02-13,建材：淡季需求走弱 荐7股,财信证券
3107,2019-02-11,"建材行业2018年年报前瞻:水泥创历史新高,后端建材静待竣工归来",申万宏源
3108,2019-02-06,华泰证券-建材行业投资策略报告,华泰证券
3109,2019-02-01,3.51亿元！东方雨虹回购2354万公司股,乐居财经
3110,2019-02-01,东方雨虹(002271.SZ)截至1月底累计回购3.52亿元的股份,格隆汇
3111,2019-02-01,建材：四季度公募基金建材配置降至低配 荐11股,和讯
3112,2019-01-31,建材行业方法论专题系列报告之三:PB~ROE模型下建材龙头的长期投资价值,正点财经
3113,2019-01-31,三行业将领衔业绩浪基金超前布局连续四季度持仓48只个股,证券日报
3114,2019-01-31,"非金属建材行业周报:淡季行业继续走弱,逢低布局优质企业",国信证券
3115,2019-01-29,建材：水泥关注短期波段性机会 荐3股,中银国际
3116,2019-01-28,建材：弱周期更受青睐 荐4股,和讯
3117,2019-01-28,买对牛股是本事！新年一波小阳春，他们又押中了,中财网
3118,2019-01-28,"非金属类建材行业研究:地产数据超预期利好家装建材,继续推荐北新建材、东方雨虹",国金证券
3119,2019-01-25,"建材行业2018q4板块基金持仓分析:弱周期更受青睐,水泥股表现分化",正点财经
3120,2019-01-25,【建材】东方雨虹：关注防水龙头，高质量成长可期,天风研究
3121,2019-01-24,兴全基金4季度加仓三安光电 有产品仓位从76%降至39%,新浪
3122,2019-01-24,科顺股份转板一周年:股价跌破发行 又迎1.44亿股解禁,新浪
3123,2019-01-23,建材行业周报:产能置换成为水泥行业扩充产能主流方式,正点财经
3124,2019-01-22,南京银行：“18东方雨虹ABN001优先”持有人会议未生效,Wind
3125,2019-01-22,"建筑材料行业报告:2018年水泥需求先抑后扬,19年基建加速落地",正点财经
3126,2019-01-22,东方雨虹1月21日获外资买入0.42%股份,乐居财经
3127,2019-01-22,光大证券2018年1-12月建材行业需求端数据点评,光大证券
3128,2019-01-22,非金属建材周报:关注玻璃冷修进程,国信证券
3129,2019-01-20,144只个股连涨3日以上，易成新能连升11日大涨79.70%,Wind
3130,2019-01-17,东方雨虹通州违规施工造成隐患 北京住建委责令改正 其他违规处罚,中国经济网
3131,2019-01-16,东方雨虹今日大宗交易成交15万股，成交价14.3元折价4.03%,Wind资讯
3132,2019-01-16,"建材行业周报:大小周期右侧和淡季,关注政策预期",东兴证券
3133,2019-01-13,东方雨虹换帅 大建材野心隐现,中金在线
3134,2019-01-12,东方雨虹连续五年上榜欧盟“2018年全球企业研发投入排行榜”,经济观察网
3135,2019-01-11,2018年上市公司“疯狂减持”记：有人套现49亿 有人让万元月薪员工“接盘”,挖贝网
3136,2019-01-08,2019年机构注意力转向何方，百只个股被扎堆看好或存“升”机,证券日报
3137,2019-01-07,"建材行业2019年年度策略:后周期分化,重寻新机会",证券之星
3138,2019-01-03,建材：淡季来临 荐6股,国信证券
3139,2019-01-02,多家公司发布回购公告：用友网络等获得力挺,Wind
3140,2019-01-02,1月2日晚间上市公司十大重磅公告,巨丰财经
3141,2019-01-02,东方雨虹：已累计耗资3.52亿元回购股份,e公司
3142,2019-01-02,国务院发布雄安新区总体规划批复 6股强势,证券之星
3143,2019-01-02,"非金属建材行业2019年投资策略:不确定环境下,追寻确定",光大证券
3144,2019-01-01,【东吴环保袁理团队】高能环境深度：复制雨虹优势，造资源化龙头,东吴环保公用研究
3145,2018-12-30,《一周研读》中央经济工作会议：托底意愿明确,中信证券研究
3146,2018-12-29,2019年1月16日召开“18东方雨虹ABN001优先”持有人会议,Wind
3147,2018-12-27,平安证券2019年建筑建材行业十大猜想,平安证券
3148,2018-12-21,【中证盘前播报】美股、油价大跌！国家税务总局：拟推新一轮普惠减税降负措施！商务部：中美拟明年1月贸易会谈；东阿阿胶出厂价上调6%,中证报
3149,2018-12-20,东方雨虹：对唐山东方雨虹增资1.5亿元,证券之星
3150,2018-12-20,东方雨虹：拟投资设立全资子公司青耕保温技术,证券之星
3151,2018-12-20,A股头条之上市公司公告精选（12.21）,金融界
3152,2018-12-20,公告汇总：电广传媒与华为战略合作进军5G,网易
3153,2018-12-20,12月20日上市公司晚间公告速递,新浪
3154,2018-12-20,东方雨虹：1.5亿增资唐山东方雨虹 扩大华北区域供货能力,e公司
3155,2018-12-20,"建材行业周报:西江停运利好广东水泥,发改委提振市场预期",证券之星
3156,2018-12-18,"非金属建材行业周报(18年第50周):水泥价格高位松动,密切关注行业运行",国信证券
3157,2018-12-17,【平安建筑建材】2019年建筑建材行业年度策略报告 | 基建补短板带动投资回暖，19年轨交/PPP将回暖,严究建筑建材
3158,2018-12-13,13日潜力排行榜居前的板块(附股),证券之星
3159,2018-12-13,"建筑材料行业:周期有望维持高位区间,静待估值压制因素消除",正点财经
3160,2018-12-13,"建材行业月报:油价加速下行,利好下游建材板块",证券之星
3161,2018-12-13,建筑行业点评:房地产企业债松绑对房建产业链构成三重利好,联讯证券
3162,2018-12-10,"非金属建材行业周报(18年第49周):水泥价格稳升,库容比底部震荡",国信证券
3163,2018-12-06,星火燎原，千家公司解除质押，“多”方在行动,Wind
3164,2018-12-05,[快讯]东方雨虹发布解除质押公告 涉及股份29273万股,中财网
3165,2018-12-05,"非金属建材行业2019年度投资策略:基建暖春将至,荣花含苞待放",信达证券
3166,2018-12-04,五大指数新调入87只股票 机构集中推荐14只龙头股,证券日报
3167,2018-11-28,各路资金驰援纾困效果显现，逾百家上市公司近期解除质押,证券日报
3168,2018-11-28,"建材行业周报:水泥业绩估值分化,低标号取消利好熟料需求",证券之星
3169,2018-11-27,"非金属建材周报:稍安勿躁,长线布局优质标的",国信证券
3170,2018-11-26,13股获券商买入评级 东方雨虹目标涨幅达106.65%,Wind
3171,2018-11-24,本周机构调整123家公司评级 63股或将大涨逾三成,投资快报
3172,2018-11-22,29股获券商买入评级：精测电子目标涨幅达68.42%,Wind
3173,2018-11-20,东方雨虹：成长动力不减 推荐评级,财信证券
3174,2018-11-19,建材：等待更好的时机 荐5股,国信证券
3175,2018-11-17,东方雨虹股东许利民质押1400万股 占其所持股份的15.59%,挖贝网
3176,2018-11-13,东方雨虹获评2018中国建材企业20强,中新网
3177,2018-11-11,建材：冬季限产加码 荐6股,中银国际
3178,2018-11-08,[快讯]东方雨虹2317万限售股11月9日解禁,中财网
3179,2018-11-07,"建材行业2018年三季报综述:行业业绩依然向好,水泥板块贡献巨大",证券之星
3180,2018-11-02,九大重点领域补短板 逾3亿元资金抢筹10只基建股,证券日报
3181,2018-11-02,85家年报预喜公司连续3年净利增逾2成 解密成长股价值,证券日报
3182,2018-11-01,东方雨虹：已回购3.52亿元股份,e公司
3183,2018-10-31,建材：水泥与玻璃供需均有分化 荐4股,中银国际
3184,2018-10-26,171股获券商买入评级 东方雨虹目标涨幅达115.63%,Wind
3185,2018-10-24,券商首次关注10股并给予买入评级（10月24日）,Wind
3186,2018-10-23,【平安建筑建材】东方雨虹18Q3季报点评：业绩增速稳步提升，经营质量持续改善,严究建筑建材
3187,2018-10-22,东方雨虹三季度利润增速明显 处于历史估值底部,红周刊
3188,2018-10-22,东方雨虹2018年第三季度报发布︱前三季度营业收入93.01亿元，同比增长33.43%,红周刊
3189,2018-10-22,联讯证券：东方雨虹买入评级,联讯证券
3190,2018-10-22,"东方雨虹消息:工程与零售并举助推业绩高增长,防水龙头强者恒强",平安证券
3191,2018-10-22,东方雨虹公告 实控人提交鼓励员工增持公司股票倡议书,股城网
3192,2018-10-22,【东方雨虹|季报点评】收入维持较快增速，业务质量提升【天风建材盛昌盛团队】,材料盛视
3193,2018-10-22,首批上市公司三季报显示社保基金新进8只个股,证券时报
3194,2018-10-21,【华泰建筑建材鲍荣富】东方雨虹2018年三季报点评：收入维持高增长，毛利率整体承压,华泰建筑建材研究
3195,2018-10-19,侠之大者！兜底式增持潮又起，如何寻宝？,Wind
3196,2018-10-19,东方雨虹：前三季度净利润同比增28.27%,Wind
3197,2018-10-19,兜底式增持队伍壮大,手机中国网
3198,2018-10-19,A股已无灵丹妙药：9家公司昨推兜底式员工增持计划今3家股价下跌,挖贝网
3199,2018-10-19,东方雨虹2名股东合计质押990万股 合计占比6.14%,挖贝网
3200,2018-10-18,东方雨虹称员工月均收入过1万 董事长倡议买公司股票并承诺兜底,新京报
3201,2018-10-18,东方雨虹倡议员工持股，万事俱备，坐等“春天”,红周刊
3202,2018-10-18,增持回购阵营持续扩大，兜底增持潮再现,Wind
3203,2018-10-18,18日公告透露利好 22只个股有望爆发,中金在线
3204,2018-10-17,沪深上市公司18年10月17日晚间上市公司重要公告,全景网
3205,2018-10-17,A股再现员工“兜底增持”潮,中证网
3206,2018-10-17,东方雨虹实控人发出“兜底式”增持倡议,中证网
3207,2018-10-17,5家上市公司董事长或实控人倡议员工增持并承诺兜底,Wind
3208,2018-10-17,东方雨虹：公司控股股东倡议员工增持，承诺兜底,Wind
3209,2018-10-16,10月16日有27家公司获重要股东增减持 华邦健康已被连续增持36次,Wind
3210,2018-10-16,【e公司微访谈直播】东方雨虹：晋级“百亿企业”后，防水“小行业”如何续写持久成长性,e公司
3211,2018-10-15,[增持评级]建材行业周观点：水泥环保继续收紧 价格持续走高,中财网
3212,2018-10-15,[增持评级]建筑材料行业周报：华东水泥三季报行情可期,中财网
3213,2018-10-13,1596只个股今日尾盘资金净流入,证券时报
3214,2018-10-08,东方雨虹：已累计回购约3.52亿元股份,e公司
3215,2018-10-03,58股业绩有望高增长 10个股获机构重仓,证券时报网
3216,2018-09-29,国家发改委环资司考察东方雨虹岳阳生产基地,红周刊
3217,2018-09-27,防水行业迎来人工智能时代,新京报
3218,2018-09-26,广东东方雨虹助力广州黄埔区、开发区质量月观摩活动,红周刊
3219,2018-09-25,深圳东方雨虹助力龙岗工程质监检验站防水讲座,红周刊
3220,2018-09-25,东方雨虹获评“长期合作伙伴”，卧牛山、孚达入选“新晋合作伙伴”,红周刊
3221,2018-09-25,东方雨虹北京公司召开业务新政策宣讲会,红周刊
3222,2018-09-25,东方雨虹出席廊坊质量提升及现场管理培训会,红周刊
3223,2018-09-24,建材：错峰仍将严格 荐9股,国盛证券
3224,2018-09-21,东方雨虹助力江苏启东防水质量提升技术交流会,红周刊
3225,2018-09-20,东方雨虹受邀出席装配式建筑发展国际（深圳）高峰论坛,红周刊
3226,2018-09-20,东方雨虹与万向集团签订战略合作,红周刊
3227,2018-09-19,唐山东方雨虹检测室通过CNAS现场审核,红周刊
3228,2018-09-18,科顺股份上半年营收增长接近5成,号外财经网
3229,2018-09-18,东方雨虹亮相2018年广州工程建设展览会,红周刊
3230,2018-09-18,"非金属建材行业9月投资策略:年内业绩无忧,逢低买入优质企业",国信证券
3231,2018-09-18,非金属建材行业周报(18年第37周):预计3~4季度现货价格仍将稳中有升,国信证券
3232,2018-09-17,"【头条研报】""山竹""肆虐A股台风概念股不放假(名… 自然灾害",新浪
3233,2018-09-16,建材：旺季开启涨价 荐7股,国盛证券
3234,2018-09-12,东方雨虹：回购部分社会公众股份超过总股本1%,中证网
3235,2018-09-12,午间公告：安洁科技获控股股东增持10万股,Wind
3236,2018-09-11,社保基金长期重仓股名单曝光，连续五年坚守24只个股,证券日报
3237,2018-09-11,社保基金长期重仓股名单曝光 连续五年坚守24只个股,证券日报
3238,2018-09-10,建材行业：水泥、耐材景气较高 行业向龙头集中明显,金融界
3239,2018-09-09,建材：景气小幅向上 荐11股,国盛证券
3240,2018-09-06,9月6日有68家公司获重要股东增减持 汉钟精机已被连续增持93次,Wind
3241,2018-09-06,午间公告：聚灿光电拟终止发行可转债，正邦科技称未受“非洲猪瘟”疫情影响,Wind
3242,2018-09-05,"东方雨虹2018年半年报点评:经营质量明显提升,仍在成长快车道",正点财经
3243,2018-08-31,东方雨虹：着力打造全产业链生态系统 全面推动前瞻性战略布局,红周刊
3244,2018-08-30,午间公告：中宠股份调减可转债发行规模，康斯特实控人减持,Wind
3245,2018-08-30,联讯证券：东方雨虹买入评级,顶尖财经网
3246,2018-08-30,东方雨虹获评2018年中国民营企业制造业500强,红周刊
3247,2018-08-30,东方雨虹：收入稳步增长 毛利率环比改善,国信证券
3248,2018-08-30,东方雨虹（002271）：经营质量明显提升，仍在成长快车道（国君建材 鲍雁辛 黄涛）20180830,鲍大侠之建材
3249,2018-08-29,【东方雨虹|中报点评】业务规模维持较快增长【天风建材盛昌盛团队】,材料盛视
3250,2018-08-29,【华泰建筑建材鲍荣富】东方雨虹18年中报点评：收入高增长，成本上涨拖累毛利,华泰建筑建材研究
3251,2018-08-29,东方雨虹新材料装备研发总部基地举行奠基仪式,红周刊
3252,2018-08-29,东方雨虹亮相中关村30周年创新成就展,红周刊
3253,2018-08-29,东方雨虹耐根穿刺防水卷材获辽宁省名牌产品称号,红周刊
3254,2018-08-29,东方雨虹参加驻马店建筑防水质量提升专题培训会,红周刊
3255,2018-08-29,广东东方雨虹助力中山质量月系列培训活动,红周刊
3256,2018-08-28,东方雨虹：2018年前三季度业绩报告预告,深交所
3257,2018-08-28,东方雨虹：上半年净利润同比增25.26%,Wind
3258,2018-08-27,[增持评级]建材行业周观点：步入旺季涨价行情,中财网
3259,2018-08-24,东方雨虹助力杭州湾绿地海湾建设,红周刊
3260,2018-08-24,濮阳市长考察濮阳东方雨虹,红周刊
3261,2018-08-22,海南房屋多存漏水问题 建筑修缮质量水平亟待提高,中新网
3262,2018-08-21,[超配评级]非金属建材行业周报：玻璃限产、提价进行时 重点关注,中财网
3263,2018-08-20,[增持评级]建筑材料行业周报：7月水泥产量微增 等待旺季来临,中财网
3264,2018-08-20,[增持评级]建材行业周观点：渐入旺季 建材股攻守兼备,中财网
3265,2018-08-20,东方雨虹上海生产基地两车间单日产量创新高,红周刊
3266,2018-08-20,东方雨虹工渠（中国）举办大郑州合伙人培训大会,红周刊
3267,2018-08-20,锦州东方雨虹荣评“2016-2017年度锦州市功勋企业”,红周刊
3268,2018-08-20,东方雨虹与天赋房地产签订战略合作,红周刊
3269,2018-08-16,东方雨虹与黔东南盛达签订战略合作,红周刊
3270,2018-08-16,东方雨虹与贵铁物贸签订战略合作,红周刊
3271,2018-08-16,东方雨虹出席银川代建局建筑防水质量专项会议,红周刊
3272,2018-08-14,多家公司发布回购公告：八菱科技等获得力捧,Wind
3273,2018-08-14,东方雨虹：首次回购近111万股 耗资1783万元,e公司
3274,2018-08-14,惠州东方雨虹助力大亚湾市场监管局培训交流会,红周刊
3275,2018-08-13,[增持评级]建筑材料行业周报：稳增长加速落地 7月信贷增幅明显,中财网
3276,2018-08-13,广东东方雨虹获评“2018年广东企业500强、广东流通业100强”,红周刊
3277,2018-08-10,东方雨虹参加商丘建筑防水质量专题培训会,红周刊
3278,2018-08-02,莱西市委市政府调研青岛东方雨虹,红周刊
3279,2018-08-01,[增持评级]建筑材料行业周报：基建需求预期改善 首选水泥,中财网
3280,2018-08-01,[推荐评级]家居建材流通渠道研究：变革时代 模式迭代,中财网
3281,2018-07-31,[超配评级]非金属建材周报：错峰从严 淡季不淡 旺季有望超预期,中财网
3282,2018-07-31,今年以来100家公司回购股份超120亿元,中证报
3283,2018-07-30,[增持评级]建材行业周观点：政策改善持续 继续推荐建材,中财网
3284,2018-07-30,咸阳市委副书记考察咸阳东方雨虹,红周刊
3285,2018-07-27,Jan Baeyens教授做客东方雨虹国家重点实验室院士专家大讲堂,红周刊
3286,2018-07-26,[增持评级]建筑材料行业简评：建材板块二季度被减仓 持仓仍集中在龙头公司,中财网
3287,2018-07-26,新世界中国地产一行考察惠州东方雨虹,红周刊
3288,2018-07-26,逾百家公司掀回购潮 回购金额创历史新高,投资快报
3289,2018-07-25,[强烈推荐-A评级]东方雨虹(002271)点评报告：增持回购彰显公司信心 集中度提升强者恒强,中财网
3290,2018-07-25,东方雨虹召开2018年中总结暨下半年工作部署大会,红周刊
3291,2018-07-25,东方雨虹与隆基泰和签订战略合作协议,红周刊
3292,2018-07-25,东方雨虹：7月24日融资余额为4.22亿元，较前一日骤降12.31%,Wind资讯
3293,2018-07-25,巨丰早评：短线反弹目标揭秘,巨丰财经
3294,2018-07-24,深港通十大成交活跃股排名（7月24日）,Wind
3295,2018-07-24,[增持评级]建材龙头股2018二季度持仓分析(建材行业)：从基金季报看筹码结构 调整已然充分,中财网
3296,2018-07-24,巨丰收评：短线超跌机会仍有 中线逐步配置蓝筹股,巨丰财经
3297,2018-07-24,行业专题：从基金季报看筹码结构，调整已然充分——2018Q2建材龙头基金持仓分析20180724,鲍大侠之建材
