,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
3736,2018-06-29,郁亮：十年后如果万科还是地产公司会很惨淡,中国经营网
3737,2018-06-29,工业富联：富士康各地工厂已开始实施智能制造及工业互联网改造,Wind
3738,2018-06-29,工业富联：富士康各地工厂已开始工业互联网改造 后续将开放解决方案,e公司
3739,2018-06-29,工业富联: 有充分应对贸易摩擦的能力和对策,e公司
3740,2018-06-29,eBay和富士康加入以太企业联盟,Bianews
3741,2018-06-29,特朗普站台富士康美国工厂：这是第八大奇迹，用美国钢筋建造,澎湃新闻
3742,2018-06-29,特朗普称软银在美投资720亿美元 比500亿的承诺多,网易
3743,2018-06-29,万科张旭：万村计划遇到很多困难 棚改政策影响不大,金融界
3744,2018-06-29,万科谈富士康员工信：城中村改造将保持租金稳定,新浪
3745,2018-06-29,工业富联董事长谈股价：波动难以避免，有信心给股东好的回报,Wind
3746,2018-06-29,富士康美国新工厂获40亿补贴，特朗普将参加动工典礼,维库电子市场
3747,2018-06-29,特朗普参加富士康美国工厂动工仪式 盛赞其为“世界第八大奇迹”,腾讯网
3748,2018-06-29,富士康美国建厂获巨额补贴 财政成本过高引发不满,和讯
3749,2018-06-28,股指叠创新低 独角兽新股加速价值回归,第一财经
3750,2018-06-28,工业大数据赋能智能制造,信产网
3751,2018-06-28,特朗普出席富士康工厂动土典礼,凤凰网
3752,2018-06-27,Longhorn从富士康手中收购前夏普半导体专利,元器件交易网
3753,2018-06-27,工业富联与海康威视达成战略合作,证券时报
3754,2018-06-27,工业富联携手海康威视 在工业互联网等领域深入合作,e公司
3755,2018-06-27,工业富联与海康威视在深圳签订战略合作框架协议,元器件交易网
3756,2018-06-25,技术工人不足 富士康美国宣布招募三千退伍兵入厂,腾讯网
3757,2018-06-25,机构:准备弹药 CDR+中报领衔 创板欠宁德涨停该还了,中财网
3758,2018-06-25,次新股再次上攻，欣锐科技、宏川智慧强势涨停,Wind
3759,2018-06-25,小米今日公开招股：自降身价怕重蹈工业富联老路？,Ofweek
3760,2018-06-25,富士康为独角兽炒作敲了一记警钟,新京报
3761,2018-06-24,工业富联牵手中国电子信息产业发展研究院赋能中国智造,证券日报
3762,2018-06-24,富士康iPhone生产线自动化进展太缓，无法遵守加班条例？,腾讯网
