278,2021-04-27,非银金融行业周报：券商推进财富管理转型 估值静待改善,新浪
279,2021-04-23,永安期货转板IPO在即 信用减值、公允价值变动收益大幅波动引关注,中国网
280,2021-04-22,行业“一哥”永安期货IPO现场检查过关，A股期货第三股或将面世,格隆汇
281,2021-04-21,财通证券今日大宗交易成交1560万股，成交价10.1元折价7.85%,Wind
282,2021-04-20,期货龙头永安期货完成IPO现场检查 2020年营收、净利均实现两位数上涨,中国网
283,2021-04-20,券商股快速启动，中金公司放量大涨8%,Wind
284,2021-04-20,“期货第三股”即将面世！“一哥”IPO再进一步 现场检查结束 期货业再掀,发现网
285,2021-04-20,券商“联姻”：大势所趋更是“大浪淘沙”,Wind
286,2021-04-20,期货业“一哥”完成IPO现场检查 净利占全行业13%,证券时报
287,2021-04-15,时代资本往事系列报道---被敲诈的泰林生物董事长叶大林：以商业贿赂发家，现拟发行可转债圈钱？,时代财经
288,2021-04-15,但斌、林园、邓晓峰仓位都不低，但头部私募却在“劝退”散户,Wind
289,2021-04-14,天齐锂业今日涨停，四机构合计买入3.37亿元,Wind
290,2021-04-14,券商股午前异动，华林证券直线拉升逾7%,Wind
291,2021-04-14,【行情】证券板块异动拉升，华林证券涨超4%，东方财富、财通证券、中信建投、国金证券等跟涨,金十数据
292,2021-04-12,华研精机过会：今年IPO过关第125家 财通证券过2单,中国经济网
293,2021-04-09,券商2021年一季报前瞻：预计板块归母净利同比增2成 环比增5成,新浪
294,2021-04-07,财通证券(601108.SH)合规总监、董事会秘书正式履职,智通财经
295,2021-03-30,稀土板块王者归来，2月出口量已同比翻倍！,Wind
296,2021-03-30,一批化工上市公司一季报预增，4家企业增幅逾10倍,Wind
297,2021-03-25,超级牛股突然高位跌停，游资胜利大逃亡,Wind
298,2021-03-24,一则传闻，这个板块突然跳水！,Wind
299,2021-03-23,券商股持续走高，国联证券两连板,Wind
300,2021-03-22,舜大能源资产重组违规收警示函 主办券商为财通证券 金融监管处罚,中国经济网
301,2021-03-22,IPO批量撤回，一机构撤回10单,Wind
302,2021-03-18,科技赋能新金融，数智构建新生态——财通行权融资业务开启新征程,财通证券融资融券部
303,2021-03-18,两类资金操作现分歧，“聪明钱”更胜一筹？,Wind
304,2021-03-16,财通证券再现人事变动：合规总监等三大职位拟换人 年初业务违规收警示函、前经纪人骗熟人近390万元被判刑12年多 金融监管处罚,和讯
305,2021-03-16,中国债券市场金融债发行日程一览(3月16日),Wind
306,2021-03-16,近一年至少8家券商首席风险官变动，任职资格要求极高，最新规定券商声誉风险管理由首风牵头负责,财联社
