262,2021-07-25,研究所竞争格局生变：中金晋升第一，东亚前海迅速组队,新浪
263,2021-07-24,方正证券二季度基金持仓分析：加仓成长，减仓价值,方正证券
264,2021-07-22,方正证券：新方正集团尚未设立,每日经济新闻
265,2021-07-22,方正证券：方正证券持有瑞信方正49%的股份,每日经济新闻
266,2021-07-21,4家券商发布上半年业绩快报,证券时报网
267,2021-07-21,方正证券上半年净利润13.01亿元 同比增长超100%,和讯
268,2021-07-20,持久动荡反迎业绩高增长，方正证券半年净利翻倍超去年全年，平安+方正>2仍被寄厚望,财联社
269,2021-07-20,方正证券：上半年净利润同比增长102.7%（业绩快报）,Wind
270,2021-07-20,亮眼！方正证券：预计2021年上半年净利润约13.01亿元，同比增加102.70%,每日经济新闻
271,2021-07-20,方正证券业绩快报：上半年净利润13.01亿元 同比增103%,e公司
272,2021-07-20,方正证券业绩快报：上半年净利同比增长102.7%,财联社
273,2021-07-20,方正证券(601901.SH)业绩快报：半年度净利润升102.7%至13亿元,格隆汇
274,2021-07-19,7月以来多家券商股东现变动！ 一边外资股东“抢”进场、一边拍卖却遭流拍 缘何冷热不均？ 司法拍卖,北京商报
275,2021-07-17,股价大涨推高起拍价，政泉控股所持方正证券1.09亿股首次拍卖无人问津 司法拍卖,21世纪经济报道
276,2021-07-16,方正证券(601901.SH)股东政泉控股所持股份将被第二次司法拍卖,智通财经
277,2021-07-16,方正证券：股东北京政泉控股所持13.24%公司股份将被第二次司法拍卖 司法拍卖,Wind
278,2021-07-15,解盘：金融拉指数，白酒、保险、光伏屋顶领涨,Wind
279,2021-07-15,【行情】证券板块短线拉升，方正证券涨超4%，光大证券、中金公司、华创阳安跟涨,金十数据
280,2021-07-13,盘点2021券商人均营销实力,新浪
281,2021-07-12,北向资金今日净买入16.42亿元，新能源股表现分化,Wind
282,2021-07-12,方正证券受困“内斗”五年净利降七成 易主中国平安或与平安证券合并,发现网
