,2021-12-31,融入长三角 共用大陆桥 上港集团与连云港港签署合作协议,中国水运网
1532,2019-01-15,25家公司披露业绩快报,大众证券报
1533,2019-01-15,股市早知道：1月15日盘前必看与交易提示,中财网
1534,2019-01-15,上港集团2018年营收381.5亿元 较上年同期增长2%,挖贝网
1535,2019-01-15,补缺之后能否出现精彩,中财网
1536,2019-01-14,公告精选：新疆交建称未开展燃料电池业务 美的集团去年净利预增15%-20%,e公司
1537,2019-01-14,上港集团业绩快报：2018年净利102.8亿元 同比降10.9%,e公司
1538,2019-01-14,上港集团：2018年净利润102.8亿元，同比下降10.9%,Wind
1539,2019-01-09,27.52亿接盘浦发银行大厦 凯德集团砸重金布局上海核心商业,证券日报
1540,2019-01-09,政策驱动港口运输业基本面改善 六股迎腾飞契机,证券日报
1541,2019-01-05,集装箱吞吐量或挺进全球前三 天时地利人和炼就“宁波港速度”,21世纪经济报道
1542,2018-12-28,A股真是特立独行，高开低走砸盘迎新（1228晨报）,开源证券研究所
1543,2018-12-25,张江高科扎根科学城 瞄准中国“芯”,中证网
1544,2018-12-17,长三角港航一体化：明年年底小洋山北侧支线码头力争开建,澎湃新闻
1545,2018-12-12,沪市成交额连续3日不足千亿 三角度详解缩量股潜力,证券日报
1546,2018-12-04,上港集团：“16上港01”回售资金发放日2019年1月22日,Wind
1547,2018-12-04,关于调整上证50、上证180、上证380等指数样本股的公告,上交所
1548,2018-11-28,11月28日上市公司晚间公告速递,新浪
1549,2018-11-28,上海银行：稳股价措施实施完成 股东合计增持额超8亿元,e公司
1550,2018-11-23,128亿！上海滩昔日“地王”换了东家,每日经济新闻
1551,2018-11-22,上海立法支持和保障长三角一体化发展 关注概念股,金融界
1552,2018-11-19,周一谈市场:供应断档两周 楼市提前过冬,中金在线
1553,2018-11-19,“热璞科技”完成数千万人民币A轮天津泰达科技投资领投,搜狐
1554,2018-11-17,上海自贸区扩容进程或超预期 7只概念股获机构推荐抢占风口,证券日报
1555,2018-11-13,凯德128亿收购上海最高双子塔，计划打造上海第三座来福士,澎湃新闻
1556,2018-11-12,上海银行：董事会五届八次临时会议决议公告,上交所
1557,2018-11-08,"上港集团:投资收益增厚业绩,主导国际航运中心建设",国联证券
1558,2018-11-07,10家企业联手打造航运业首个区块链联盟GSBN,联合钢铁网
1559,2018-11-02,集装箱概念股有哪些？2018集装箱概念股一览表,南方财富网
1560,2018-10-30,上港集团：前三季度净利润同比增7.26%,Wind
1561,2018-10-16,凯德集团拟以128亿元收购上海虹口星外滩项目,观点地产网
1562,2018-10-12,自由贸易港板块股票有哪些？自由贸易港板块股票汇总,益盟操盘手
1563,2018-10-12,A股再掀回购潮 多家上市公司加入“抄底”阵营,投资快报
1564,2018-10-12,10月12日早间两市重要公司新闻速递,证券时报网
1565,2018-10-12,12日公告透露利好 14只个股有望爆发,中金在线
1566,2018-10-12,拟127.8亿出售“星外滩” 上港集团预计获净利11.7亿,全景网
1567,2018-10-11,上港集团拟出售星外滩 挂牌价不低于128亿元,大众证券报
1568,2018-10-11,公告精选：上市公司增持回购潮再现；皖能电力前三季度预盈逾2.7亿元,e公司
1569,2018-10-11,上港集团拟出售“上海最高双子楼”，价格不低于127亿元,澎湃新闻
1570,2018-10-11,上港集团星外滩128亿挂牌 评估价值较账面值增115%,观点地产网
1571,2018-10-11,上港集团拟不低于127.86亿元公开挂牌出售星外滩,北京商报网
1572,2018-10-11,10月11日上市公司晚间公告速递,新浪
1573,2018-10-11,上港集团：拟不低于127亿元出售上海星外滩100%股权,新浪
1574,2018-10-11,上港集团：拟不低于127.86亿元出售上海星外滩100%股权,e公司
1575,2018-10-09,"投资策略研究:二季度机构持仓分析,海外机构持续加仓,国内机构持仓市值下降",正点财经
1576,2018-09-28,十部门联合印发促进邮轮经济发展意见印发 游轮概念股一览表,证券日报
1577,2018-09-25,邮轮业“黄金十年”戛然而止　本土企业谋变,中经网
1578,2018-09-20,东海航运保险股份有限公司大连分公司举行揭牌仪式,中华海运网
1579,2018-09-17,公司治理遭遇两大难点 中小银行寻求“平衡术”,证券时报
1580,2018-09-13,比肩全球最大智能码头 吉利开启智能新时代,车质网
1581,2018-09-12,体育产业市场潜力巨大 跨界融合已成为发展趋势,前瞻研究院
1582,2018-09-12,又创纪录！A股再现地量，释放什么信号？,Wind
1583,2018-09-11,28股获券商买入评级，东诚药业目标涨幅达49.40%,Wind
1584,2018-09-07,与中外运完成数据对接亿海蓝综合物流云服务再升级,国际在线
1585,2018-09-07,上港集团拟挂牌出售子公司100%股权 预计总价120亿盈利超30亿,号外财经网
1586,2018-09-06,上港集团：预挂牌出售上海星外滩开发建设100%股权,证券时报网
1587,2018-09-04,广证恒生-市场要闻点评-第897期-20180904,广证恒生策略研究
1588,2018-09-03,【联讯策略专题】二季度机构持仓分析（重发）,联讯春哥看市场
1589,2018-09-03,主业+投资收益+地产三驾马车 百亿利润新常态,天风证券
1590,2018-09-03,长江经济带政策红利释放 沿线港口望受益(附股),金融界
1591,2018-08-31,【华泰证券研究所】每日晨会启明星20180831,华泰证券研究所
1592,2018-08-31,中远海控上半年净利润4079.6万元，许立荣被选举为该公司董事长,中国航务周刊
1593,2018-08-30,【浙商交运】多元化投资终结硕果，上港集团扣非净利润大增31.7%,浙商证券研究所
1594,2018-08-30,浙商早班车2018.08.30,浙商证券研究所
1595,2018-08-29,上港集团：上半年净利润同比增0.41%,Wind
1596,2018-08-29,上港集团：上半年净利润33.9亿元，同比增加0.41%,Wind
1597,2018-08-24,融资客青睐47股，尖峰集团买入占比高达51.59%,Wind
1598,2018-08-21,20000TEU集装箱船“中远海运天蝎座”轮命名交付,中港网
1599,2018-08-20,2018物联网产业分类排行，新趋势报告,维库电子市场
1600,2018-08-20,卡尔玛赢得上海国际港务(集团)股份有限公司15台流动机械订单,慧聪网
1601,2018-08-17,集装箱吞吐量增速表现亮眼 港口建设进入高速发展期,前瞻研究院
1602,2018-08-15,从8家增至100家 国资A股公司实施员工持股计划渐入佳境,中财网
1603,2018-08-08,鼠标轻点间，昼夜吞吐超万箱,上观
1604,2018-08-04,城投债持续活跃低评级民企信用债“冰封”未解,中国经营报
1605,2018-08-02,湖南岳阳城陵矶新港区推进“一区一港四口岸”联动发展,中国经济网
1606,2018-07-30,中远海控联合上港集团要约收购东方海外完成,中港网
1607,2018-07-30,中远海控完成收购多数股权，东方海外改姓“中远海”,仓储自动化网
1608,2018-07-30,[强于大市评级]交通运输行业研究周报：上半年铁路持续向暖 拼多多赴美上市成功,中财网
1609,2018-07-27,【停牌】东方海外(00316-HK)：联席要约人已就6.16亿股收到要约的有效接纳,财华社
1610,2018-07-27,交通运输行业信用投资6月月报：“公转铁”对港口、铁路行业影响,兴证固收研究
1611,2018-07-26,26日公告透露利好 19只个股有望爆发,中证网
1612,2018-07-25,公告精选：工农中三大行分别出资30亿元投资国家融资担保基金；爱尔眼科总经理减持逾1194万股,每日经济新闻
1613,2018-07-25,A股头条之上市公司公告精选（7.26）,金融界
1614,2018-07-25,[快讯]7月25日晚间沪深两市重要公司公告一览-更新中,中财网
1615,2018-07-25,上港集团：向子公司瑞祥房地产增资16.5亿元,e公司
1616,2018-07-23,[强于大市评级]交通运输行业研究周报：上海机场免税总保底租金410亿元 快递公司6月数据披露完全,中财网
1617,2018-07-22,上海银行上半年净利93亿 同比增20%日赚5100万,经济观察网
1618,2018-07-20,中国上市公司协会联合沪深交易所发布A股上市公司现金分红榜单,中上协
1619,2018-07-20,港口概念股有哪些？2018港口概念股一览表,南方财富网
1620,2018-07-18,[推荐评级]绿色交通专题二：聚焦货运行业污染防治 绿色物流板块投资机遇凸显,中财网
1621,2018-07-16,花巨资建设却遭闲置 船舶岸电为何“晒太阳”？,中国经济网
1622,2018-07-16,迎接新一轮对外开放上港集团扬帆再起航,证券时报
1623,2018-07-16,上港集团：加固世界第一大集装箱港口地位,证券时报
1624,2018-07-15,市值1500亿、累计分红逾300亿，世界第一大集装箱港“还有很多事情要做”！,e公司
1625,2018-07-15,【高管面对面直播】上港集团：以全球视野推动科技强港,e公司
1626,2018-07-14,银行股“救价”救得起来吗？,金融投资报
1627,2018-07-07,管理成本高，投入产出比降低 港口危险品少了,华夏时报
1628,2018-07-06,两大国资流通平台：国盛、国际集团,经济观察报
1629,2018-07-06,关键时刻，大奇迹日会出现吗？,阿尔法工场
1630,2018-07-05,秦港股份跌2.74%，创年度新低，报3.90元,腾讯网
1631,2018-07-05,广州港大跌5.06%，报5.07元,腾讯网
1632,2018-07-03,2018版自贸区负面清单再缩减50条 四股可以关注,证券日报
1633,2018-07-03,[看好评级]申万宏源交运行业一周天地汇：沙特增产伊朗船队制裁促油运复苏 政策引导铁路需求持续旺盛,中财网
1634,2018-07-03,多家次新银行大股东高管联袂增持 个别解禁小股东套现,证券日报
1635,2018-07-02,7月2日有71家公司获重要股东增减持 深圳惠程已被连续增持47次,Wind
1636,2018-07-02,中国平安成交逾26亿元,深圳商报
1637,2018-07-01,上海口岸集装箱设备交接单全面进入电子化时代,中新网
1638,2018-06-26,上港集团今日大宗交易成交2800万股，成交价5.88元折价0.0%,Wind资讯
1639,2018-06-23,上海银行：信心充分 买入评级,中信建投
1640,2018-06-21,上市公司出手自救 高溢价大手笔回购现小高潮,投资快报
1641,2018-06-20,浦发银行对上海“四大品牌” 总授信2400亿元,中证网
1642,2018-06-16,开放的大门会越开越大,证券时报
1643,2018-06-15,"交通运输业:bdi反弹创18年新高,7月1日禁止不合规车辆运输车通行",新浪
1644,2018-06-14,银行股集中破净的背后：或因强监管下市场担忧导致,Wind
1645,2018-06-14,银行股集中破净的背后,北京商报
1646,2018-06-12,"交通运输行业:1季度三大航扣非归母净利增60%以上,铁路板块归母净利增长超预期",新浪
1647,2018-06-12,"交通运输行业:端午、暑运将来临,继续看好航空、铁路板块表现",新浪
1648,2018-06-11,“破净”股忙回购 鲁泰A斥资近亿港元回购B股,经济导报
1649,2018-06-10,解禁后流通股数量（万股）,姜明交运观察
1650,2018-06-08,2018年普通高等学校招生全国统一考试（A股卷）,和讯
1651,2018-06-06,上海银行解禁在即 15家银行破净保价措施暂未奏效,21世纪经济报道
1652,2018-06-04,沪深上市公司18年6月4日晚间上市公司重要公告,全景网
1653,2018-06-04,"交通运输行业:铁总上调铁路集装箱运价,国内线燃油附加费有望复征",新浪
1654,2018-06-04,紫金矿业10.72亿限售股本周解禁 定增股东年收益20%,号外财经网
1655,2018-06-04,[强于大市评级]交通运输行业研究周报：铁总上调铁路集装箱运价 国内线燃油附加费有望复征,中财网
1656,2018-06-03,周末要闻2018年6月3日星期日,--
1657,2018-06-03,下周股市3大看点 6月份市场有望启动全新运行方式,中财网
1658,2018-06-02,6月解禁市值年内第三高 紫金矿业领衔下周解禁,大众证券报
1659,2018-06-01,下周369亿市值限售股解禁，环比减少六成,Wind
1660,2018-05-31,第二家银行宣布“救价”方案：江苏银行第一大股东累计增持不低于2500万元,21世纪经济报道
1661,2018-05-31,“破净”阵营增至111只 创业板重现破净股,大众证券报
1662,2018-05-30,上港集团：2017年年度权益分派实施公告,上交所
1663,2018-05-29,中财独家:市场已进入超跌反弹时间窗口？十机构预测,中财网
1664,2018-05-29,5月29日你要知道的十大上市公司新闻,中国基金报
1665,2018-05-29,周二最新重磅公司传闻集锦(5月29日),证券之星
1666,2018-05-28,上海银行率先出台稳定股价措施 前三大股东增持不少于1.18亿元,每日经济新闻
1667,2018-05-28,沪深上市公司18年5月28日晚间上市公司重要公告,全景网
1668,2018-05-28,5月28日公告精选：两公司股东持股触及平仓线,和讯
1669,2018-05-28,涨停板早知道：七大利好明日有望发酵,新浪
1670,2018-05-28,上海银行稳定股价方案：联合投资等三大股东拟共增持逾1亿元,澎湃新闻
1671,2018-05-28,5月28日晚间上市公司十大重磅公告,巨丰财经
1672,2018-05-28,晚间重要公告2018年5月28日星期一,--
1673,2018-05-28,上海银行“保价”方案出台 三股东拟增持,21世纪经济报道
1674,2018-05-28,上海银行披露稳定股价措施 三名股东拟增持,e公司
1675,2018-05-28,[看好评级]申万宏源交运行业一周天地汇：航运开征燃油附加费 旺季涨价诉求强烈运价或超预期,中财网
1676,2018-05-28,东方海外对中远的收购充满信心，有望在6月底完成交易,中港网
1677,2018-05-28,[强于大市评级]交通运输行业研究周报：航空燃油附加费或将征收 坚定看好航空、铁路板块,中财网
1678,2018-05-28,重要股东增持表明发展信心 东阿阿胶或增值,经济导报
1679,2018-05-27,15家上市银行破净 多家开始实施招股书中稳定股价承诺,证券日报
1680,2018-05-27,增持潮催生“估值底”，存银行不如买银行股！,Wind
1681,2018-05-26,上港集团：2016年公司债券(第二期)2018年付息公告,上交所
1682,2018-05-24,招股书沉睡条款醒了 上海银行触发股价维稳义务,新浪
1683,2018-05-24,14家银行股陷入“破净潮” 上海银行出招“救价”,21世纪经济报道
1684,2018-05-23,股票价格持续低迷 上海银行触发稳定股价措施,国际金融报
1685,2018-05-23,新股上市若不争气 大股东高管就得兜底,中金在线
1686,2018-05-23,三大指数低开低走 权重股为何集体砸盘,证券之星
1687,2018-05-23,郑州银行过会背后：多家城商行因持续“破净”激发大股东增持,澎湃新闻
1688,2018-05-23,上港集团持上海银行股份比重升至6.73%,金融界
1689,2018-05-23,触发稳定股价措施 上海银行估值有望修复,全景网
1690,2018-05-23,还敢瞎炒？一记重拳！一群人难眠(附A股排雷指南),Wind
1691,2018-05-23,"上海银行股东增持点评:大股东增持彰显发展信心,基本面改善估值性价比突出",证券之星
1692,2018-05-22,收盘价连续20个交易日低于每股净资产 上海银行触发稳定股价措施,北京商报
1693,2018-05-22,上海银行股价连续20日低于净资产 触发稳定股价措施,中国网
1694,2018-05-22,"交通运输行业:国家明确进一步降低物流成本,航空、铁路继续看好",新浪
1695,2018-05-22,快讯：银行板块异动 成都银行涨超2%,新浪
1696,2018-05-22,多元化战略 是否影响港口经营？,中金在线
1697,2018-05-22,[中性评级]交运行业周报：快递业务高增长 2Q旺季值得关注,中财网
1698,2018-05-22,上海银行：大股东主动增持 估值底部确立,中信建投
1699,2018-05-22,两上市城商行股东增持背后：稳定股价机制在发力,证券时报
1700,2018-05-21,屡见上市银行股东增持自家股票！原来是稳定股价的触发条款发威了,财经网
1701,2018-05-21,上港集团增持上海银行1957万股 总持股增至6.73%,观点地产网
1702,2018-05-21,上海银行：重申银行拐点第一标的 买入评级,申万宏源
1703,2018-05-21,【异动股】港口水运板块拉升走强 中远海控(601919-CN)等股涨停,财华社
1704,2018-05-21,[买入评级]上海银行(601229)点评：股东增持为看好长期发展 关注可能触发的稳定股价措施,中财网
1705,2018-05-21,【个股公告】今日公布重磅利好,金元证券指定乾坤
1706,2018-05-21,盘前必读公告：这些股不容错过！,巨丰财经
1707,2018-05-21,周末重要增减持公告:普洛药业控股股东小幅增持至50%,中证网
1708,2018-05-21,今日开盘前 这些上市公司消息先知道,中财网
1709,2018-05-21,抄外资的底？这两只MSCI成分股获股东大手笔增持,顶尖财经网
1710,2018-05-21,上海银行股份有限公司关于股东增持本公司股份的公告,证券日报
1711,2018-05-20,[公司]上海银行：股东上港集团耗资逾3亿元增持公司股份,全景网
1712,2018-05-20,公告精选：上港集团逾3亿元增持上海银行；正海生物29%限售股份23日上市流通,每日经济新闻
1713,2018-05-20,涨停板早知道：七大利好明日有望发酵,新浪
1714,2018-05-20,多公司发布晚间重要公告 明日走势或将反转,和讯
1715,2018-05-20,又一上市城商行主要股东增持，上港集团对上海银行持股比例升至6.73%,证券时报
1716,2018-05-20,晚间重要公告2018年5月20日星期日,--
1717,2018-05-20,公告精选：上港集团耗资逾3亿元增持上海银行；生益转债转股价格调整为11.62元/股,e公司
1718,2018-05-20,上海银行：上港集团耗资逾3亿元增持,e公司
1719,2018-05-20,上港集团3.04亿元增持上海银行 持股比例为6.73%,中国网
1720,2018-05-18,海南港口概念股：2018年港口概念股一览,南方财富网
1721,2018-05-17,中远海控要约收购东方海外获国家发改委备案,中国航务周刊
1722,2018-05-16,156份员工持股计划将到期 浮亏过半,中证网
1723,2018-05-14,[中性评级]交运行业周报：油价或压制航空 但利好油轮运价,中财网
1724,2018-05-14,新疆上市公司高管赴上海常州考察学习,证券时报网
1725,2018-05-14,[强于大市评级]交通运输行业研究周报：BDI反弹创18年新高 7月1日禁止不合规车辆运输车通行,中财网
1726,2018-05-13,【天风交运姜明团队】周报（5.07-5.13）：BDI反弹创18年新高，7月1日禁止不合规车辆运输车通行,姜明交运观察
1727,2018-05-09,上海集体接待日活动圆满结束 45家上市公司共回答2048个问题,全景网
1728,2018-05-09,[路演]上港集团：海法新港仍在建设中 预计2021年投入运营,全景网
1729,2018-05-09,研报精选 6股值得关注（5.9）,中金在线
1730,2018-05-09,研报精选：这家港口净利翻倍+底背离+成交量放大！,中金网
1731,2018-05-09,[中性评级]交运行业周报：改革逻辑不破 继续推荐航空铁路,中财网
1732,2018-05-04,要成绩还是要业绩？新三板上挂牌的球队各有取舍,资本邦
1733,2018-05-04,"上港集团:18Q1利润大增44.6%,静待房地产释放利润",申万宏源
1734,2018-05-03,交运行业:票价放开逐步兑现 继续推荐航空,华泰证券
1735,2018-05-03,派现金额首破万亿 高送转急剧降温,证券时报
1736,2018-05-02,申万宏源：上港集团买入评级,顶尖财经网
1737,2018-05-02,上港集团：业绩超预期 投资收益大幅增加,红周刊
1738,2018-05-02,利润增速创五年新高 周期性行业增长显著,证券时报
1739,2018-05-02,402家公司有证券投资 “炒股”成业绩“双刃剑”,中证报
1740,2018-04-27,上港集团：一季度净利润同比增44.62%,Wind
1741,2018-04-27,一批新百亿业绩公司脱颖而出 它们发展路径各不相同,股城网
1742,2018-04-25,7张图了解2018物联网产业发展新趋势,亿欧网
1743,2018-04-24,[中性评级]交运行业周报： 降准利好高股息 航空超跌待反弹,中财网
1744,2018-04-23,[强于大市评级]交通运输行业研究周报：雄安新区规划出炉 航空、铁路配置正当时,中财网
1745,2018-04-20,提升董秘职业“含金量” 不能停留在保证信披“不犯错”,证券日报
1746,2018-04-19,券商看市：社会责任投资迎来双重驱动,中证网
1747,2018-04-19,国泰君安：个人消费时代 单身经济崛起,中证网
1748,2018-04-17,[推荐评级]交通运输行业一周回顾与展望：海南区域再迎重大发展机遇 南航3月客座率4年最高,中财网
1749,2018-04-16,[看好评级]申万宏源交运行业一周天地汇：航空调价目录出台 一线互飞均在其中 业绩空间进一步打开,中财网
1750,2018-04-16,[强于大市评级]交通运输行业研究周报：3月快递单量增速29.9% 海南自贸区自贸港建设获国家支持,中财网
1751,2018-04-16,粤闽津自贸区试验窗口期来临 新突破引关注 10大概念股,中财网
1752,2018-04-14,资深董秘支招上交所监管培训：提升董秘职业含金量,新浪
1753,2018-04-13,[看好评级]交通运输行业2018年一季报前瞻：航运、航空供需结构改善 快递增速提升 铁路货运依旧亮眼,中财网
1754,2018-04-12,慎看反弹 聚焦两大主题,投资快报
1755,2018-04-11,今日午评：上证指数气势如虹 银行房地产大资金流入,中财网
1756,2018-04-11,【异动股】自由港概念早盘走强 畅联股份(603648-CN)涨停,财华社
1757,2018-04-10,6只个股尾盘净流入资金超亿元,证券时报
1758,2018-04-10,融资客青睐16股，皖江物流买入占比高达63.59％,Wind
1759,2018-04-09,[强于大市评级]交通运输行业研究周报：出口集运价格止跌企稳 海南主题继续发酵,中财网
1760,2018-04-08,中上协2017年度最受投资者尊重的上市公司评选结果揭晓,证券时报网
1761,2018-04-07,商用车新业态，让重卡像摩拜一样共享？,汽车商业评论
1762,2018-04-07,[谨慎增持评级]上港集团(600018)年报点评：主业稳健增长 非经常性损益推升净利润,中财网
1763,2018-04-07,79股目标涨幅超两成 56亿主力资金抢筹,证券时报
1764,2018-04-04,[推荐评级]上港集团(600018)跟踪报告：新一轮对外开放的起点上 “绩优+改善+主题”的港口龙头,中财网
1765,2018-04-04,周一机构一致最看好的6只金股,中金在线
1766,2018-04-03,中证数据：两市资金净流入前20股（4月3日）,金融界
1767,2018-04-03,[强于大市评级]交通运输行业研究周报：增值税率下调利好航空铁路 二季度持续推荐,中财网
1768,2018-04-03,两市股指集体走弱，创业板指跌近2%,第一财经
1769,2018-04-03,三大股指集体下挫 创业板指午后跌逾2%,证券时报
1770,2018-04-03,交通运输行业周报：2017年三大航营收同比增长显著,中财网
1771,2018-03-30,眼神确认过！全球通信业老大华为去年营收突破6000亿，过去十年研发投入近4000亿,e公司
1772,2018-03-30,在华零基础的海外品牌，转化力营销机构助它开业一天狂销近百万,中国网
1773,2018-03-30,[审慎增持评级]上港集团(600018)年报点评：业绩符合预告 关注自贸港政策落地,中财网
1774,2018-03-29,[推荐评级]上港集团(600018)年报点评：非经常性收益大增导致业绩同比大幅增长66% 龙头港口 未来或受益自贸港主题催化,中财网
1775,2018-03-29,[买入评级]上港集团(600018)年报点评：多元收益兑现 聚焦自由港政策,中财网
1776,2018-03-29,券商首次关注8股并给予买入评级(3月29日),Wind
1777,2018-03-28,上港集团2017年实现净利润115.36亿元 同比增长66%,证券时报
1778,2018-03-28,上不封顶，下可保底！换股“套利”再现，抗风险就看它,--
1779,2018-03-28,上港集团：聚焦自由港政策 买入评级,东北证券
1780,2018-03-28,[推荐评级]上港集团(600018)年报点评：业绩与快报一致 多元化收益驱动高增长,中财网
1781,2018-03-28,28日可能影响股价重要财经消息汇总（更新中）,证券时报网
1782,2018-03-27,上港集团年赚115.36亿 上港足球队全年净赚5000万,新浪
1783,2018-03-27,晚间重要公告2018年3月27日星期二,--
1784,2018-03-27,上港集团：2017年净利115亿元同比增66% 拟10派1.72元,e公司
1785,2018-03-27,上港集团：年报净利增近7成拟10派1.72元，证金公司减持,Wind
1786,2018-03-27,沪深上市公司18年3月28日重大事项交易提示速递,搜狐
1787,2018-03-27,95家公司明日公布年报 17家预增翻倍,中金在线
1788,2018-03-27,"交通运输行业:回避贸易摩擦风险,布局航空铁路和快递",新浪
1789,2018-03-26,年报披露迎来最火爆的一周 这些巨无霸公司业绩将揭开面纱,华讯财经
1790,2018-03-26,年报披露高峰到来 巨无霸陆续亮相,投资快报
1791,2018-03-25,【天风交运姜明团队】周报（3.19-3.25）：回避贸易摩擦风险，布局航空铁路和快递,姜明交运观察
1792,2018-03-23,上海联合产权交易所交易信息,证券时报
1793,2018-03-21,上港集团今日大宗交易成交40万股，成交价6.46元折价10.03%,Wind资讯
1794,2018-03-20,[看好评级]申万宏源交运行业一周天地汇：3月淡季为市场预期最低点 推荐中远海控,中财网
1795,2018-03-19,[强于大市评级]交通运输行业研究周报：1-2月快递量增长31.2% 继续强调航空、铁路板块机会,中财网
1796,2018-03-19,3月19日晚间重要行业研究汇总(附股),中金在线
1797,2018-03-19,[中性评级]交运行业周报：航空新航季政策值得期待,中财网
1798,2018-03-19,"交通运输行业:1-2月快递量增长31.2%,继续强调航空、铁路板块机会",新浪
1799,2018-03-18,【天风交运姜明团队】周报（3.12-3.18）：1-2月快递量增长31.2%，继续强调航空、铁路板块机会,姜明交运观察
1800,2018-03-18,蓝筹股年度业绩分化 机构持仓注重成长性(名单),红周刊
1801,2018-03-16,上海自贸港概念股上港集团：17年预盈115.3亿元,南方财富网
1802,2018-03-16,外企中国路｜日媒：日通与上港集团合作全面开拓中国客户,参考消息
1803,2018-03-15,金茂30亿落佛山第三子 千亿目标下扩储与拿地“逻辑”,观点地产网
1804,2018-03-15,华为云开设香港数据中心协助企业通达全球、创新未来,中国经济网
1805,2018-03-14,A股情报局：新能源汽车带来的确定机会,腾讯网
1806,2018-03-14,上海地方国资总量破18万亿元,中金在线
1807,2018-03-13,"惊爆!继马化腾马云之后,王健林强势涉足区块链",银行信息港
1808,2018-03-13,【异动股】港口水运拉升走强 南京港(002040-CN)涨逾5%,财华社
1809,2018-03-13,航运市场回暖 新一轮上涨周期或开启,中国水运网
1810,2018-03-12,[中性评级]交运行业周报：聚焦两会：交通运输税率有望降低,中财网
1811,2018-03-09,1768份业绩快报近七成“报喜”,财界网
1812,2018-03-07,987只个股上午尾盘资金净流入,证券时报网
1813,2018-03-07,中远海控收购东方海外的最后“关卡”,中港网
1814,2018-03-06,[看好评级]申万宏源交运一周天地汇：3月集运淡季预期最低点 建议铺底配置中远海控,中财网
1815,2018-03-06,3月6日涨停板预测：独角兽概念或持续爆发,网易
1816,2018-03-06,巨丰热点前瞻：关注市场结构性机会,巨丰财经
1817,2018-03-05,[中性评级]交运行业周报：建议航空逢低买入 看好干散上行,中财网
1818,2018-03-05,142公司公布年报 39家业绩增幅翻倍,证券时报
1819,2018-03-04,【东北交运第10周观点】航班时刻管理办法出台，航空长期向好趋势不改,老瞿研究
1820,2018-03-04,【天风交运姜明团队】周报（2.26-3.04）：集运价格大幅回调，看好区域及改革主题,姜明交运观察
1821,2018-03-03,逾1800家公司晒业绩 业绩超预期个股大多受青睐,证券时报网
1822,2018-03-03,业绩才是硬道理！逾1800家公司晒业绩，超预期者涨涨涨，不及者多数跌跌跌（名单）,证券时报网
1823,2018-02-27,交通运输概念股有哪些:春运民航发送旅客增14.6% 航空铁路继续坚,南方财富网
1824,2018-02-27,"交运一周天地汇:航空春运亮点频现需求高增长,集运外需强劲旺季有望超预期",申万宏源
1825,2018-02-26,自由贸易港概念大涨 再掀炒地图行情？,中证报
1826,2018-02-26,中上协“2017年度最受投资者尊重的上市公司评选”入围名单揭晓,中上协
1827,2018-02-26,自贸港申建热概念股上港集团：17年预盈115.3亿元,南方财富网
1828,2018-02-26,[中性评级]交运行业周报：航空春运数据向好 干散运价上行,中财网
1829,2018-02-26,交通运输行业研究周报：春运民航发送旅客增14.6% 航空铁路继续坚定配置,中财网
1830,2018-02-26,热点追踪：自贸港建设有望加速，关注两会主题机会,国元天长
1831,2018-02-26,多地掀自贸港申建热 概念股“涨声一片”,证券日报
1832,2018-02-25,【天风交运姜明团队】周报（2.19-2.25）：民航春运发送旅客增14.9%，航空铁路继续坚定配置,姜明交运观察
1833,2018-02-25,【东北交运第9周观点】春节消费升级动力强劲，航空需求旺盛,老瞿研究
1834,2018-02-25,机构：春节消费数据塑造市场新风口 四板块欲借机腾飞,21世纪经济报道
1835,2018-02-24,交运板块走“春运” 6只低估值绩优股受资金青睐,证券日报
1836,2018-02-23,强势股追踪 主力资金连续5日净流入112股,证券时报
1837,2018-02-23,港口板块股票有哪些？2018最新港口水运概念股,证券日报
1838,2018-02-23,快讯：自由贸易港早盘活跃 上海临港领涨,中国经济网
1839,2018-02-23,上海自贸区概念造好，上海物贸涨逾4%,Wind
1840,2018-02-22,[增持评级]航运港口行业2017年业绩预览：航运底部复苏;港口增速向好,中财网
1841,2018-02-22,今日53只个股跨越牛熊分界线,证券时报网
1842,2018-02-17,"上港集团:17年预盈115.3亿元,非经常性损益贡献业绩增量",南方财富网
1843,2018-02-17,新金融工具准则发威 上市公司“卖股维生”受挑战,证券时报
1844,2018-02-14,精选个股持股过年,红周刊
1845,2018-02-12,“锦江e航运”英文版上线，航线信息一手掌握,航运交易公报
1846,2018-02-12,短线防风险23只股短期均线现死叉,证券之星
1847,2018-02-12,短线防风险22只股短期均线现死叉,证券时报网
1848,2018-02-11,【天风交运姜明团队】周报（2.05-2.11）：春运迎出行高峰，坚定配置航空铁路,姜明交运观察
1849,2018-02-11,[中性评级]交运行业周报：坚定推荐航空 预计干散运价上涨,中财网
1850,2018-02-11,[强于大市评级]交通运输行业研究周报：春运迎出行高峰 坚定配置航空铁路,中财网
1851,2018-02-10,培育具有全球竞争力的世界一流企业——中远海运集团改革重组成效显著,新华网
1852,2018-02-09,[看好评级]交通运输行业2017年年报前瞻：集运周期向上 铁路分化货运亮眼 物流景气不减,中财网
1853,2018-02-09,上海联合产权交易所交易信息,证券时报
1854,2018-02-08,产业资本携33亿元资金净增持157股,证券日报
1855,2018-02-08,价值因素锁定A股下跌空间 产业资本携33亿资金净增持,证券日报
