4012,2018-07-17,[买入评级]电子行业周报：6月营运数据继续向好 看好优质电子白马贯穿全年机会,中财网
4013,2018-07-17,卖酒的想造车、造车的想玩金融 2018汽车行业跨界收购风潮继续,盖世汽车
4014,2018-07-16,申万宏源电子|每日资讯公告,申万宏源电子研究
4015,2018-07-16,大华股份：拟8亿元西安投建大华西部研发中心,e公司
4016,2018-07-16,2025年搭L4技术 零跑公布自动驾驶路线,盖世汽车
4017,2018-07-16,抢反弹 北上资金持续加仓,中证报
4018,2018-07-14,安信研究|TMT向新力·第二十一期 20180714,安信证券研究
4019,2018-07-14,零跑40辆车路测最新自动驾驶技术，累积里程数超过50万公里,车云
4020,2018-07-14,持续震荡A股结构性机会初现 三大数据透视机构布局路径,证券日报
4021,2018-07-14,北上资金九天抢筹逾137亿 加仓围绕大消费概念股,证券日报
4022,2018-07-13,大华股份与浪潮战略合作 深化安防信息化发展,e公司
4023,2018-07-13,创业板、中小板一周活跃个股排行榜,中证网
4024,2018-07-13,[买入评级]大华股份(002236)公告点评：总经理增持 彰显公司持续发展信心,中财网
4025,2018-07-13,AI企业2019年IPO天花板：科大讯飞的市值、科沃斯的市盈率,亿欧网
4026,2018-07-12,大华股份大涨5.12%，报20.53元,腾讯网
4027,2018-07-12,90股获券商买入评级 依顿电子目标涨幅达107.31%,Wind
4028,2018-07-11,大华股份：与广联达签署战略合作协议,e公司
4029,2018-07-11,两市走势疲软，沪指收盘大跌近2%再度失守2800点关口,搜狐
4030,2018-07-11,中期业绩大增 22股获机构调研(附名单),证券时报
4031,2018-07-11,大华股份大跌5.1%，报19.37元,腾讯网
4032,2018-07-11,大华股份大跌5.44%，报19.30元,腾讯网
4033,2018-07-11,盖世汽车走进主机厂之零跑汽车圆满成功,盖世汽车每日速递
4034,2018-07-10,7月10日有47家公司获重要股东增减持 苏州科达已被连续减持54次,Wind
4035,2018-07-10,三大不利因素齐聚 这次他给168家机构交了底,每日经济新闻
4036,2018-07-10,[中性评级]计算机行业周报：大市存在反弹需求 板块关注博弈及布局机会,中财网
4037,2018-07-10,中证数据：两市资金净流入前20股（7月10日）,中证网
4038,2018-07-10,[买入评级]电子行业动态分析：大立光等6月营收及5月半导体销售再创新高 验证电子板块基本面拐点,中财网
