966,2021-04-02,溢价75%购韩国芯片厂，曾靠安世半导体一战成名——揭秘神秘的“中系资本”智路资本,环球老虎财经
967,2021-04-02,"闻泰科技现14笔大宗交易 共成交20,665.66万元",新浪
968,2021-04-02,闻泰科技今日大宗交易成交218.80万股，成交价94.45元折价9.75%,Wind
969,2021-04-02,闻泰科技(600745.SH)股东康旅集团解除质押350万股,智通财经
970,2021-04-02,中芯国际为留人，送CEO一套2000万住房，更有薪水涨4倍,Wind
971,2021-04-02,芯片巨头狂砸6500亿扩产，半导体股票飙涨，全球芯荒何时终结,Wind
972,2021-04-01,"闻泰科技现2笔大宗交易 共成交5,120.50万元",新浪
973,2021-04-01,闻泰科技今日大宗交易成交55万股，成交价93.1元折价6.36%,Wind
974,2021-04-01,产业链涨价潮持续，芯片概念股爆发，士兰微等涨停,证券之星
975,2021-03-31,小米宣布十年投入100亿美元造车！贵州茅台去年净利467亿,搜狐
976,2021-03-31,5G概念股谁是现金奶牛？果链才是大赢家,新浪
977,2021-03-31,24.2亿元！闻泰科技“折价”收购欧菲光苹果摄像头业务,国际电子商情
978,2021-03-31,【银河晨报】3.31丨石化：油价21Q1大幅上涨，看好行业单季度业绩表现,中国银河证券研究
979,2021-03-30,市场要闻 |打四折接手欧菲光苹果业务， 闻泰盘中一度涨近4%,36氪
980,2021-03-30,闻泰科技目标入局苹果产业链 “果链”还会“真香”吗？丨一份观察,第一财经
981,2021-03-30,买来卖去原索尼电子仍是“果链”的真爱？收购方闻泰科技一鱼两吃，真香！,21世纪经济报道
982,2021-03-30,闻泰科技24.2亿杀入苹果产业链的“野心”和“隐忧”,21世纪经济报道
983,2021-03-30,24.2亿元收购欧菲光两项资产，闻泰科技即将进入苹果供应链,搜狐
984,2021-03-30,闻泰科技出资24亿收购欧菲光部分资产 消息称其将接手苹果摄像头业务,中金在线
985,2021-03-30,中国银河--电子行业：汽车缺芯再发酵，半导体设备需求持续旺盛【行业研究】,金融界股吧
986,2021-03-30,闻泰科技：收购欧菲光的苹果业务仍需重新认证,Wind
987,2021-03-30,闻泰科技“打包”收购欧菲光苹果业务 早盘股价异动,第一财经
988,2021-03-30,拟24亿元接手欧菲光“果链”资产，闻泰科技涨超2%,第一财经
989,2021-03-30,闻泰科技拟以24.2亿元收购欧菲光摄像头业务相关资产,智通财经
990,2021-03-30,闻泰科技加入“果链”：24.2亿元收购欧菲光特定客户业务,澎湃新闻
991,2021-03-29,6折收购苹果摄像头业务！这家科技巨头目标仍是给苹果供货,中证报
992,2021-03-29,欧菲光：拟出售广州得尔塔及部分经营性资产 资产异常,Wind
993,2021-03-29,闻泰科技拟24亿元收购欧菲光旗下资产 交易对价打五折,e公司
994,2021-03-29,打骨折？打四折！闻泰科技24.2亿元吃下欧菲光华南厂,观察者网
995,2021-03-29,【报道】从产业链获悉，闻泰科技在收购欧菲光相关资产后，将很快恢复对苹果的前摄像头供应，后摄像头供应也正在推进中,金十数据
