828,2020-11-03,房地产行业20Q3基金持仓分析：20Q3公募基金对房地产板块配置比例连续三个季度下降 偏好高弹性的成长类房企,新浪
829,2020-11-03,绿地控股180亿元公司债获上交所受理 用于偿还四笔融资,观点地产网
830,2020-11-03,绿地控股180亿元小公募债券已受上交所受理,乐居财经
831,2020-11-03,净负债率183.5%！营收归母净利增速放缓，绿地控股短期债务压力大 盈利能力下降,投资时报
832,2020-10-30,地产股收盘丨沪指收跌1.47% 绿地控股收涨1.48% 葛洲坝收跌5.7%,中国网
833,2020-10-30,被公开催款、项目烂尾，绿地到底怎么了？ 违约失信,36氪
834,2020-10-29,绿地被公开催债背后：负债超万亿 三条红线全踩 偿债能力下降,云掌财经
835,2020-10-29,绿地控股前三季度销售额降7% 负债率88.5%压融资“红线” 盈利能力下降,GPLP犀牛财经
836,2020-10-29,487股获券商买入评级，创世纪目标涨幅达103.01%,Wind
837,2020-10-29,绿地被债主登广告追债 三季报现金流大减 盈利能力下降,广州日报
838,2020-10-28,绿地控股(600606)2020年三季报点评：业绩略增 高预收覆盖,新浪
839,2020-10-28,增收不增利，房企前三季度业绩堪忧 盈利能力下降,我的钢铁
840,2020-10-28,绿地控股(600606)2020年三季报点评：地产基建双轮驱动 业绩累计增速转正,新浪
841,2020-10-28,【华西地产·公司点评】绿地控股（600606.SH）：业绩稳步增长，投资力度加大,地产由我说
842,2020-10-27,公募+社保联合减持超300亿，这只疫苗龙头透露大消息！绩优龙头股名单来了，估值低至5倍 减持股份,证券时报网
843,2020-10-27,绿地控股Q3归母净利同比转正 净负债率不降反升3%,金融界
844,2020-10-27,A股市场破净股一览（10月27日）,Wind
845,2020-10-27,业绩逐季改善 绿地前三季度主要经济指标全面正增长,新华网
846,2020-10-27,【华创地产袁豪团队】绿地控股三季报点评：业绩略增，高预收覆盖,地产豪声音
847,2020-10-27,资色·公告丨绿地控股前三季度房地产营收1446亿 同比增长9.41%,和讯
848,2020-10-27,又见造假！这家房企被罚了 欺诈造假,中金在线
849,2020-10-27,房企争相创新恒碧合计投资近4400亿,时代周报
850,2020-10-26,绿地控股：前三季度房地产业务收入同比增长15%,澎湃新闻
851,2020-10-26,"确定了!绿地控股首进淄博,26.52亩地打造品质住宅",搜狐
852,2020-10-26,绿地第三季“很忙” 加大扩储、剥离大湾区业务与降负债,观点地产网
853,2020-10-26,绿地控股前三季度总营收同比增9% 地产业务营收同比增15%,证券日报网
854,2020-10-26,延续二季度以来向好态势 绿地控股前三季度营收同比增9%,证券日报网
855,2020-10-26,绿地控股前三季净赚超120亿元,大众证券报
856,2020-10-26,绿地控股前三季度实现营收3209亿元 同比增长9%,上证报
857,2020-10-26,晚间重要公告2020年10月26日星期一,Wind
858,2020-10-26,绿地前三季度营收3209亿增9% 净利润超120亿增1.94,新浪
859,2020-10-26,绿地控股前三季度实现扣非净利润120亿元 同比增长16%,证券时报
860,2020-10-26,房地产主业发力：绿地前三季度营收增15%，第三季度销售额增27%,和讯
861,2020-10-26,绿地控股：第三季度基建业务新增项目1271个,中金在线
862,2020-10-26,绿地控股：前三季度净利120.41亿元同比增长1.94%,我的钢铁
863,2020-10-26,绿地控股：前9月新增基建业务3359个 总金额3991万元,乐居财经
864,2020-10-26,绿地控股前三季度合同销售2179亿同比减7.1% 归母净利微增1.9% 盈利能力下降,乐居财经
865,2020-10-26,绿地控股(600606.SH)：前三季净利同比增1.94%至120.41亿元,格隆汇
866,2020-10-26,绿地控股：前三季度合同销售额2178.8亿元 同比减少7.1% 盈利能力下降,金融界
867,2020-10-26,绿地控股：前三季度净利润120.41亿元 同比增长1.94%,乐居财经
868,2020-10-26,绿地前三季度主要经济指标全面正增长 扣非归母净利润增16%,陆家嘴金融网
869,2020-10-26,绿地控股：前三季净利超120亿元 同比增1.94%,e公司
870,2020-10-23,上海通报5批次不合格饮用水 闵行绿地商管现超标名单 产品问题,中国经济网
871,2020-10-23,快讯：绿地控股斥资1000万元成立绿联更盛创投,乐居财经
872,2020-10-22,绿地控股境外子公司已发行2.5亿美元债券 利率6.75%,观点地产网
873,2020-10-22,绿地控股：子公司绿地全球成功发行2.5亿美元定息债券 票面利率为6.75%,乐居财经
